%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1569826258934325810,2833,1569826258833282947,,0.0,0.0,0.0,-0.0
1569826259085481539,2834,1569826258933954954,,0.0,-0.0,0.0,0.0
1569826259186429246,2835,1569826259085046052,,0.0,0.0,-0.0,0.0
1569826259287444292,2836,1569826259185966014,,0.0,0.0,-0.0,0.0
1569826259389107021,2837,1569826259287096023,,0.0,0.0,0.0,0.0
1569826259489918746,2838,1569826259388484954,,0.0,0.0,-0.0,-0.0
1569826259590978790,2839,1569826259489465951,,0.0,0.0,-0.0,-0.0
1569826259691896553,2840,1569826259590567111,,0.0,0.0,-0.0,-0.0
1569826259793455661,2841,1569826259691673994,,0.0,-0.0,0.0,0.0
1569826260194715811,2842,1569826259792917013,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1569826260296709982,2843,1569826260194318056,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1569826260398184905,2844,1569826260295936107,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1569826260499058624,2845,1569826260397320985,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1569826260600616215,2846,1569826260499016046,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1569826260702113534,2847,1569826260600506067,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1569826260853168951,2848,1569826260701674938,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1569826260954528658,2849,1569826260853126049,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1569826261056247281,2850,1569826260954833984,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1569826261157778421,2851,1569826261056309938,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1569826261259531257,2852,1569826261157457113,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1569826261360482873,2853,1569826261258873939,,0.0,-0.0,-0.0,0.0
1569826261461844284,2854,1569826261360040903,,0.0,-0.0,-0.0,-0.0
1569826261613916074,2855,1569826261461862087,,0.0,0.0,0.0,0.0
1569826261714853880,2856,1569826261613253116,,0.0,-0.0,0.0,-0.0
1569826261816867106,2857,1569826261714838981,,0.0,-0.0,0.0,-0.0
