%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1620141142644870191,674,1620141142543045043,,0.0,0.0,-0.0,0.0
1620141142696177012,675,1620141142644665956,,0.0,0.0,0.0,0.0
1620141142798174628,676,1620141142696324110,,0.0,-0.0,-0.0,-0.0
1620141142899213698,677,1620141142797813892,,0.0,-0.0,-0.0,-0.0
1620141142951587878,678,1620141142899372100,,0.0,-0.0,-0.0,-0.0
1620141143053666242,679,1620141142951714992,,0.0,0.0,-0.0,0.0
1620141143104922721,680,1620141143053364038,,0.0,0.0,0.0,0.0
1620141143207216149,681,1620141143104937076,,0.0,-0.0,-0.0,-0.0
1620141143308527346,682,1620141143206995964,,0.0,-0.0,-0.0,-0.0
1620141143360104377,683,1620141143308583974,,0.0,0.0,0.0,-0.0
1620141143462104130,684,1620141143360135078,,0.0,-0.0,0.0,-0.0
1620141143563482978,685,1620141143461891889,,0.0,0.0,-0.0,0.0
1620141143615003505,686,1620141143563719987,,0.0,-0.0,-0.0,-0.0
1620141143716837966,687,1620141143615104913,,0.0,0.0,0.0,0.0
1620141143818382422,688,1620141143716840982,,0.0,0.0,0.0,-0.0
1620141143870080582,689,1620141143818443059,,0.0,-0.0,-0.0,-0.0
1620141143971499573,690,1620141143869883060,,0.0,-0.0,-0.0,-0.0
1620141144072813136,691,1620141143971321105,,0.0,0.0,9.99999974738e-06,0.0
1620141144124304241,692,1620141144072870016,,0.0,-0.0,-0.0,0.0
1620141144225909572,693,1620141144124507904,,0.0,-0.0,-9.99999974738e-06,0.0
1620141144277498742,694,1620141144226035118,,0.0,-0.0,-0.0,-0.0
1620141144379657919,695,1620141144277658939,,0.0,0.0,0.0,0.0
1620141144480921890,696,1620141144379420995,,0.0,-0.0,0.0,-0.0
1620141144532636547,697,1620141144481064081,,0.0,-0.0,-0.0,0.0
1620141144634657062,698,1620141144532644987,,0.0,0.0,9.99999974738e-06,0.0
1620141144736547231,699,1620141144634773969,,0.0,-0.0,-0.0,-0.0
1620141144788220160,700,1620141144736325025,,0.0,0.0,0.0,-0.0
1620141144889793195,701,1620141144787945985,,0.0,-0.0,0.0,-0.0
1620141144991310926,702,1620141144889940977,,0.0,-0.0,-0.0,-0.0
1620141145042962636,703,1620141144991405963,,0.0,-0.0,0.0,-0.0
1620141145145259006,704,1620141145043157100,,0.0,0.0,-0.0,0.0
1620141145246712771,705,1620141145145243883,,0.0,0.0,0.0,0.0
1620141145298068200,706,1620141145246721029,,0.0,-0.0,0.0,-0.0
1620141145399674656,707,1620141145298222064,,0.0,-0.0,-0.0,-0.0
1620141145501174253,708,1620141145399775981,,0.0,0.0,-0.0,0.0
1620141145552644080,709,1620141145501274108,,0.0,0.0,-0.0,0.0
1620141145654941487,710,1620141145552762031,,0.0,-0.0,-0.0,0.0
1620141145707047912,711,1620141145654659986,,0.0,0.0,0.0,-0.0
1620141145808848155,712,1620141145706662893,,0.0,-0.0,-0.0,0.0
1620141145911590603,713,1620141145809017896,,0.0,0.0,9.99999974738e-06,-0.0
1620141146012656484,714,1620141145911250114,,0.0,0.0,0.0,0.0
1620141146064294472,715,1620141146012839078,,0.0,-0.0,-0.0,-0.0
1620141146165782418,716,1620141146064367055,,0.0,-0.0,-0.0,-0.0
1620141146267205045,717,1620141146165935039,,0.0,0.0,-0.0,0.0
1620141146318723915,718,1620141146267299890,,0.0,-0.0,0.0,-0.0
1620141146420346897,719,1620141146318837881,,0.0,0.0,-0.0,0.0
1620141146522314090,720,1620141146420617103,,0.0,-0.0,-0.0,-0.0
1620141146573919102,721,1620141146522444009,,0.0,0.0,-0.0,0.0
1620141146675497892,722,1620141146574047088,,0.0,0.0,-0.0,0.0
1620141146727104740,723,1620141146675594091,,0.0,0.0,0.0,0.0
1620141146828355775,724,1620141146726833105,,0.0,-0.0,0.0,-0.0
1620141146931179555,725,1620141146828509092,,0.0,-0.0,0.0,-0.0
1620141146983145544,726,1620141146930809974,,0.0,-0.0,-0.0,-0.0
1620141147085553322,727,1620141146983006954,,0.0,-0.0,-9.99999974738e-06,-0.0
1620141147187392417,728,1620141147085211992,,0.0,-0.0,9.99999974738e-06,-0.0
1620141147239528079,729,1620141147187537908,,0.0,0.0,0.0,0.0
1620141147341956819,730,1620141147239664077,,0.0,-0.0,0.0,-0.0
