%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821698781009969,442,1635821698780320882,,-15.7636604309,-5.99542379379
1635821698784930775,443,1635821698784333944,,7.55035018921,-4.53032207489
1635821698788926142,444,1635821698788285017,,11.4399299622,0.196125999093
1635821698792558124,445,1635821698792118072,,0.834839999676,0.912778019905
1635821698796455976,446,1635821698796013116,,-4.59558010101,-0.10682400316
1635821698800174180,447,1635821698799877882,,2.09586000443,3.46508002281
1635821698804004409,448,1635821698803766965,,25.3787307739,7.0307559967
1635821698807801695,449,1635821698807590961,,-17.6778392792,1.2072019577
1635821698811891786,450,1635821698811712980,,6.06499004364,2.25323200226
1635821698815819095,451,1635821698815622091,,-18.0859508514,-0.444842010736
1635821698819652139,452,1635821698819525003,,17.8584594727,2.70767807961
1635821698823887648,453,1635821698823688983,,6.46015977859,-1.07603597641
1635821698827973838,454,1635821698827797889,,-26.6007595062,-2.86062002182
1635821698831672406,455,1635821698831547975,,14.9596595764,-1.0816860199
1635821698835799562,456,1635821698835623979,,-1.93816995621,2.14787006378
1635821698839770223,457,1635821698839570045,,-7.04499006271,-2.83281993866
1635821698843735524,458,1635821698843558073,,-7.84849023819,-5.69455003738
1635821698847730633,459,1635821698847548961,,-0.050110001117,-0.384420007467
1635821698851731607,460,1635821698851600885,,19.2007598877,0.463800013065
1635821698855768444,461,1635821698855596065,,5.6568198204,1.98279798031
1635821698859824509,462,1635821698859610080,,-15.8195695877,0.227881997824
1635821698863684875,463,1635821698863563060,,6.37493991852,3.07256793976
1635821698867693368,464,1635821698867553949,,-7.89298009872,1.50399398804
1635821698871751651,465,1635821698871618032,,-0.24605999887,-2.3853700161
1635821698875759469,466,1635821698875663995,,-14.8543100357,-6.487596035
1635821698879788650,467,1635821698879617929,,7.81500005722,-1.76068198681
1635821698883754819,468,1635821698883605957,,-7.74818992615,-4.58530807495
1635821698887759278,469,1635821698887609004,,30.6266593933,3.11861991882
1635821698891713497,470,1635821698891578912,,23.1995296478,7.8077378273
