%time,field.header.seq,field.header.stamp,field.header.frame_id,field.X,field.Y,field.Z,field.A,field.B,field.C
1635821698775988403,379773,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698780019539,379774,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698783934346,379775,0,,1142.79675293,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698787924465,379776,0,,1142.79663086,-1918.56945801,1226.80554199,-90.0758972168,-0.564499974251,178.157302856
1635821698791767135,379777,0,,1142.79675293,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698795739892,379778,0,,1142.79650879,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698799714547,379779,0,,1142.79675293,-1918.56933594,1226.80541992,-90.0758972168,-0.564499974251,178.157302856
1635821698803594885,379780,0,,1142.79614258,-1918.56933594,1226.80566406,-90.0758972168,-0.564499974251,178.157302856
1635821698807526915,379781,0,,1142.79626465,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698811606071,379782,0,,1142.79675293,-1918.56945801,1226.80541992,-90.0758972168,-0.564499974251,178.157302856
1635821698815503795,379783,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698819462785,379784,0,,1142.79614258,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698823505925,379785,0,,1142.79675293,-1918.56933594,1226.80541992,-90.0758972168,-0.564499974251,178.157302856
1635821698827683835,379786,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698831452101,379787,0,,1142.79626465,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698835533216,379788,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698839484229,379789,0,,1142.79638672,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698843497516,379790,0,,1142.79626465,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698847461028,379791,0,,1142.79638672,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698851490321,379792,0,,1142.79675293,-1918.56933594,1226.80505371,-90.0758972168,-0.564499974251,178.157302856
1635821698855493923,379793,0,,1142.79638672,-1918.56933594,1226.80541992,-90.0758972168,-0.564499974251,178.157302856
1635821698859507020,379794,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698863475958,379795,0,,1142.79626465,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698867487379,379796,0,,1142.79650879,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698871534494,379797,0,,1142.79626465,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698875596281,379798,0,,1142.79626465,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698879518625,379799,0,,1142.79638672,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698883492831,379800,0,,1142.79638672,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698887496061,379801,0,,1142.796875,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698891491236,379802,0,,1142.79602051,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698895526413,379803,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698899455544,379804,0,,1142.79663086,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698903470851,379805,0,,1142.79638672,-1918.5690918,1226.80517578,-90.0758972168,-0.564499974251,178.157302856
1635821698907481713,379806,0,,1142.79638672,-1918.56933594,1226.80529785,-90.0758972168,-0.564499974251,178.157302856
1635821698911640172,379807,0,,1142.79663086,-1918.56921387,1226.80493164,-90.0758972168,-0.564499974251,178.157302856
