%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pixels
1637084748748637025,1431,0,,690
1637084748864030246,1432,0,,652
1637084748981362876,1433,0,,640
1637084749104065843,1434,0,,622
1637084749209412443,1435,0,,567
1637084749296660692,1436,0,,514
1637084749398272030,1437,0,,465
1637084749496219799,1438,0,,419
1637084749591278807,1439,0,,382
1637084749691090205,1440,0,,329
1637084749831144235,1441,0,,262
1637084749932373337,1442,0,,217
1637084750029070862,1443,0,,178
1637084750127863315,1444,0,,161
1637084750228533135,1445,0,,148
1637084750332557173,1446,0,,141
1637084750438087552,1447,0,,128
1637084750541249027,1448,0,,118
1637084750642686134,1449,0,,109
1637084750740839479,1450,0,,100
1637084750816845766,1451,0,,91
1637084750911725494,1452,0,,85
1637084751049922475,1453,0,,77
1637084751153278395,1454,0,,67
1637084751250694631,1455,0,,57
1637084751407874553,1456,0,,40
1637084751505939480,1457,0,,26
1637084751627884249,1458,0,,7
1637084751727521833,1459,0,,0
1637084751845095507,1460,0,,0
1637084751938775496,1461,0,,0
1637084752095644654,1462,0,,0
1637084752187612280,1463,0,,0
1637084752332984919,1464,0,,0
1637084752441666380,1465,0,,0
1637084752556436981,1466,0,,0
1637084752682344258,1467,0,,183
1637084752789708583,1468,0,,277
1637084752898277677,1469,0,,415
1637084752993944646,1470,0,,518
1637084753124521285,1471,0,,718
1637084753239083672,1472,0,,907
1637084753322550130,1473,0,,1023
1637084753436880994,1474,0,,1144
1637084753535704374,1475,0,,1234
1637084753699461160,1476,0,,1383
1637084753806658270,1477,0,,1480
1637084753903643665,1478,0,,1561
1637084754009179252,1479,0,,1639
1637084754127012689,1480,0,,1696
1637084754231394440,1481,0,,1764
1637084754340057684,1482,0,,1817
1637084754442847201,1483,0,,1861
1637084754558780482,1484,0,,1923
1637084754670047229,1485,0,,1955
1637084754773633621,1486,0,,1961
1637084754882786817,1487,0,,1957
1637084754975267111,1488,0,,1938
1637084755077569071,1489,0,,1897
1637084755180536936,1490,0,,1844
1637084755285048155,1491,0,,1779
1637084755387927321,1492,0,,1713
1637084755540876229,1493,0,,1474
1637084755643304688,1494,0,,1228
1637084755741488787,1495,0,,1020
1637084755857457305,1496,0,,836
1637084755944961481,1497,0,,715
1637084756035403377,1498,0,,643
1637084756143210821,1499,0,,584
1637084756245820507,1500,0,,585
1637084756340488922,1501,0,,634
1637084756432208901,1502,0,,677
1637084756519398898,1503,0,,717
1637084756609561268,1504,0,,765
1637084756722392677,1505,0,,845
1637084756847908970,1506,0,,932
1637084756954045429,1507,0,,1012
1637084757039609542,1508,0,,1087
1637084757178476542,1509,0,,1170
1637084757281745149,1510,0,,1248
1637084757399957349,1511,0,,1307
1637084757488035551,1512,0,,1334
1637084757626263767,1513,0,,1401
1637084757739127783,1514,0,,1456
