%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1620141142644365898,1,1620141142543045043,,-1.28897321224,0.255268156528,0.615547060966
1620141142696151373,2,1620141142644665956,,-1.28897297382,0.255268394947,0.615547120571
1620141142797382407,3,1620141142696324110,,-1.28897309303,0.255268394947,0.615547120571
1620141142899116853,4,1620141142797813892,,-1.28897309303,0.255268365145,0.615547060966
1620141142951500080,5,1620141142899372100,,-1.28897309303,0.255268335342,0.615547060966
1620141143053164423,6,1620141142951714992,,-1.28897309303,0.25526830554,0.615547060966
1620141143104645466,7,1620141143053364038,,-1.28897297382,0.255268394947,0.615547120571
1620141143206595233,8,1620141143104937076,,-1.28897309303,0.255268365145,0.615547120571
1620141143308299173,9,1620141143206995964,,-1.28897321224,0.25526791811,0.615547060966
1620141143359778578,10,1620141143308583974,,-1.28897321224,0.255268245935,0.615547001362
1620141143461519736,11,1620141143360135078,,-1.28897333145,0.255268484354,0.615546882153
1620141143563435814,12,1620141143461891889,,-1.28897309303,0.255268275738,0.615547120571
1620141143614865160,13,1620141143563719987,,-1.28897321224,0.255268007517,0.615547060966
1620141143716383756,14,1620141143615104913,,-1.28897309303,0.255268037319,0.615547120571
1620141143818250678,15,1620141143716840982,,-1.28897309303,0.255268186331,0.615547060966
1620141143869717014,16,1620141143818443059,,-1.28897333145,0.255267798901,0.615547060966
1620141143971083519,17,1620141143869883060,,-1.28897333145,0.255267769098,0.615547060966
1620141144072443112,18,1620141143971321105,,-1.28897309303,0.255268633366,0.615547060966
1620141144124230531,19,1620141144072870016,,-1.28897309303,0.255268394947,0.615547120571
1620141144225818580,20,1620141144124507904,,-1.28897321224,0.25526791811,0.615547120571
1620141144277610199,21,1620141144226035118,,-1.28897321224,0.255267798901,0.615547060966
1620141144379305899,22,1620141144277658939,,-1.28897309303,0.255268007517,0.615547120571
1620141144480741823,23,1620141144379420995,,-1.28897321224,0.255268007517,0.615547060966
1620141144532369298,24,1620141144481064081,,-1.28897333145,0.255267739296,0.615547060966
1620141144634243097,25,1620141144532644987,,-1.28897321224,0.255268007517,0.615547060966
1620141144736220302,26,1620141144634773969,,-1.28897333145,0.255267739296,0.615547060966
1620141144787807356,27,1620141144736325025,,-1.28897321224,0.255268156528,0.615547001362
1620141144889590816,28,1620141144787945985,,-1.28897321224,0.255268245935,0.615547001362
1620141144991189733,29,1620141144889940977,,-1.28897333145,0.255267769098,0.615547001362
1620141145042980798,30,1620141144991405963,,-1.28897333145,0.255268067122,0.615546941757
1620141145145167724,31,1620141145043157100,,-1.28897321224,0.255268007517,0.615547060966
1620141145246371465,32,1620141145145243883,,-1.28897321224,0.255268156528,0.615547060966
1620141145297864685,33,1620141145246721029,,-1.28897321224,0.255268484354,0.615546882153
1620141145399418768,34,1620141145298222064,,-1.28897345066,0.255268454552,0.615546703339
1620141145501214319,35,1620141145399775981,,-1.28897333145,0.255268216133,0.615546941757
1620141145552488589,36,1620141145501274108,,-1.28897321224,0.255267947912,0.615547060966
1620141145654443822,37,1620141145552762031,,-1.28897321224,0.255267798901,0.615547060966
1620141145707146004,38,1620141145654659986,,-1.28897309303,0.255268245935,0.615547060966
1620141145808748798,39,1620141145706662893,,-1.28897309303,0.255268037319,0.615547120571
1620141145911023391,40,1620141145809017896,,-1.28897309303,0.255268603563,0.615547060966
1620141146012614693,41,1620141145911250114,,-1.28897297382,0.25526869297,0.615547060966
1620141146064183612,42,1620141146012839078,,-1.28897321224,0.255268603563,0.615546882153
1620141146165676032,43,1620141146064367055,,-1.28897345066,0.255268454552,0.615546703339
1620141146267159680,44,1620141146165935039,,-1.28897321224,0.255268037319,0.615547001362
1620141146318655006,45,1620141146267299890,,-1.28897333145,0.255268037319,0.615546941757
1620141146420520314,46,1620141146318837881,,-1.28897333145,0.255267947912,0.615547001362
1620141146522206061,47,1620141146420617103,,-1.28897345066,0.255267858505,0.615546822548
1620141146573939777,48,1620141146522444009,,-1.28897345066,0.255267739296,0.615546941757
1620141146675385650,49,1620141146574047088,,-1.28897333145,0.255267590284,0.615547060966
1620141146727073507,50,1620141146675594091,,-1.28897309303,0.255268007517,0.615547120571
1620141146828186808,51,1620141146726833105,,-1.28897309303,0.255268007517,0.615547120571
1620141146930423909,52,1620141146828509092,,-1.28897321224,0.255268335342,0.615547060966
1620141146983134788,53,1620141146930809974,,-1.28897321224,0.255268067122,0.615547060966
1620141147085561818,54,1620141146983006954,,-1.28897333145,0.255267649889,0.615547001362
1620141147187236886,55,1620141147085211992,,-1.28897333145,0.255268245935,0.615546822548
1620141147239228843,56,1620141147187537908,,-1.28897297382,0.255268543959,0.615547120571
1620141147341975104,57,1620141147239664077,,-1.28897309303,0.255268543959,0.615547060966
1620141147443667410,58,1620141147341562032,,-1.28897309303,0.25526830554,0.615547060966
