%time,field.data
1620141142585691602,24.75
1620141142618482015,24.75
1620141142652099456,24.75
1620141142683986092,24.75
1620141142717295017,24.5
1620141142750144957,24.5
1620141142782831540,24.75
1620141142815522129,24.75
1620141142847220019,24.75
1620141142880894620,24.75
1620141142912672058,24.75
1620141142945493428,24.5
1620141142978367169,24.5
1620141143011060804,24.75
1620141143043861203,24.75
1620141143076468077,24.75
1620141143109074980,24.75
1620141143142001564,24.75
1620141143174784575,24.75
1620141143205404297,24.75
1620141143237736130,24.75
1620141143270478159,24.75
1620141143303074315,24.75
1620141143335973210,24.75
1620141143368395319,24.75
1620141143401258535,24.75
1620141143434141249,24.75
1620141143466996975,24.75
1620141143499730272,24.75
1620141143532310787,24.75
1620141143564714527,24.75
1620141143597634227,24.75
1620141143630344373,24.75
1620141143663270454,24.75
1620141143696276976,24.75
1620141143729034294,24.75
1620141143761000351,24.75
1620141143793547642,24.75
1620141143826125156,24.75
1620141143858958944,24.75
1620141143891638297,24.75
1620141143924344192,24.75
1620141143957130260,24.75
1620141143989864871,24.75
1620141144022746479,24.75
1620141144055345328,24.75
1620141144088145567,24.75
1620141144120850116,24.75
1620141144153544261,24.75
1620141144183694926,24.75
1620141144216685620,24.75
1620141144249182682,24.75
1620141144281810353,24.75
1620141144314561005,24.75
1620141144347096957,24.75
1620141144380302060,24.75
1620141144412590704,24.75
1620141144445170577,24.75
1620141144478091038,24.75
1620141144510753402,24.75
1620141144543361426,24.75
1620141144577032516,24.75
1620141144609480257,24.75
1620141144641901820,24.75
1620141144674322221,24.75
1620141144707177523,24.75
1620141144740681399,24.75
1620141144773339009,24.75
1620141144806117172,24.75
1620141144838725579,24.75
1620141144871487278,24.75
1620141144903853947,24.75
1620141144936163856,24.75
1620141144968903596,24.75
1620141145001538341,24.75
1620141145034384087,24.75
1620141145067060993,24.75
1620141145099810168,24.75
1620141145132512047,24.75
1620141145165336182,24.75
1620141145198063431,24.75
1620141145230849368,24.75
1620141145261506482,24.75
1620141145293943349,24.75
1620141145326427047,24.75
1620141145359139300,24.75
1620141145392198115,24.75
1620141145424719202,24.75
1620141145457136266,24.75
1620141145490653606,24.75
1620141145523284889,24.75
1620141145555907445,24.75
1620141145588762371,24.75
1620141145621387641,24.75
1620141145654460905,24.75
1620141145687384472,24.75
1620141145719194245,24.75
1620141145752393687,24.75
1620141145784967895,24.75
1620141145817558741,24.75
1620141145849940836,24.75
1620141145882901993,24.75
1620141145914889636,24.75
1620141145947702157,24.75
1620141145980591450,24.75
1620141146013309324,24.75
1620141146046107549,24.75
1620141146078764354,24.75
1620141146111438147,24.75
1620141146144342604,24.75
1620141146177071268,24.75
1620141146207965244,24.75
1620141146240600022,24.75
1620141146273121809,24.75
1620141146305958352,24.75
1620141146338425393,24.75
1620141146370960047,24.75
1620141146403730461,24.75
1620141146436401195,24.75
1620141146469125437,24.75
1620141146501922112,24.75
1620141146534966813,24.75
1620141146566735331,24.75
1620141146600344498,24.75
1620141146633018562,24.75
1620141146665826622,24.75
1620141146698265712,24.75
1620141146731120513,24.75
1620141146763923158,24.75
1620141146796261875,24.75
1620141146828781848,24.75
1620141146861296260,24.75
1620141146893948399,24.75
1620141146926712256,24.75
1620141146959151380,24.75
1620141146992105530,24.75
1620141147024981657,24.75
1620141147057601129,24.75
1620141147090464924,24.75
1620141147123144321,24.75
1620141147155762974,24.75
1620141147186127465,24.75
1620141147218644836,24.75
1620141147251266536,24.5
1620141147283958393,24.5
1620141147317531286,24.75
1620141147350087365,24.75
1620141147382994869,24.75
1620141147416232697,24.75
