%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5
1620834190755197791,674,1620834190754061347,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.358517803136,-0.887213533562,2.09183939932,0.383093330548,-1.22920544233,-0.133655690962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834190842277063,675,1620834190841764959,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.358658162515,-0.887196499149,2.091736198,0.38325904956,-1.22917400895,-0.133714107132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834190924435494,676,1620834190923636513,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.358800703555,-0.887177457607,2.09165191605,0.383441069948,-1.22913925944,-0.133790587459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834191008087676,677,1620834191007232074,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.358947311212,-0.887153686222,2.09156229339,0.383625952676,-1.22908771987,-0.133891991089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834191096462657,678,1620834191095490960,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.359092382979,-0.887128728014,2.09147228676,0.38381071323,-1.22902181624,-0.134024583752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834191175026811,679,1620834191174076842,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.359233807008,-0.887102286276,2.09137400727,0.383985420688,-1.22896296374,-0.134126860046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834191264606325,680,1620834191263554681,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.359380135413,-0.887069997684,2.09128518747,0.384141086604,-1.22889770588,-0.134239241797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834191342804815,681,1620834191342035441,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.359524945381,-0.887041234658,2.09120809627,0.384301971055,-1.228838993,-0.13434628284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834191428491528,682,1620834191427530163,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.359663332537,-0.887012733432,2.09112234825,0.384485457519,-1.22878584772,-0.13444875112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620834191511998775,683,1620834191511251500,,joint_b1,joint_b2,joint_b3,joint_b4,joint_b5,joint_b6,0.359808317038,-0.886990759736,2.09102714054,0.384640948902,-1.22874018991,-0.134532492018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
