%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1620046078249158727,17249,1620046078230456538,,75.9407653809,9.70750331879,1.27887094021,313.863677979,187.663574219,2.51774764061
1620046078285284987,17250,1620046078267103501,,74.8898544312,9.63890361786,1.28564715385,314.410522461,189.50440979,2.51774764061
1620046078321445846,17251,1620046078298530421,,65.5622177124,9.73102474213,1.28516507149,315.190429688,191.549301147,2.51774764061
1620046078351864509,17252,1620046078329594292,,79.4304428101,9.56644153595,1.28477525711,313.929382324,187.706130981,2.51774764061
1620046078381529840,17253,1620046078361796536,,50.4008178711,9.92743968964,1.24193775654,316.259277344,196.59046936,2.51774764061
1620046078407433377,17254,1620046078392497678,,76.6989593506,9.41953754425,1.28086411953,314.192626953,188.510925293,2.51774764061
1620046078441455120,17255,1620046078424827953,,77.2537231445,9.57571411133,1.28447031975,314.006988525,187.849472046,2.51774764061
1620046078479886166,17256,1620046078461059225,,48.1680374146,10.2585124969,1.24962866306,316.431182861,197.037887573,2.51774764061
1620046078515101825,17257,1620046078493606358,,48.5440216064,10.0133771896,1.24777197838,316.278045654,196.689483643,2.51774764061
1620046078544006423,17258,1620046078526134820,,78.7734603882,9.39813995361,1.2764621973,313.884307861,187.860107422,2.51774764061
1620046078577015495,17259,1620046078561165376,,48.3007278442,10.0828866959,1.24870240688,316.61895752,197.223358154,2.51774764061
1620046078613762934,17260,1620046078598008644,,48.8615570068,10.0788869858,1.24511778355,316.358764648,196.564102173,2.51774764061
1620046078646647787,17261,1620046078630063931,,51.016784668,9.91635036469,1.2498716116,316.308776855,196.323516846,2.51774764061
1620046078682110342,17262,1620046078666196389,,48.2395095825,10.2454681396,1.24023783207,316.387573242,196.874465942,2.51774764061
1620046078713191416,17263,1620046078697768955,,49.3644599915,9.98196220398,1.24799776077,316.594451904,197.242446899,2.51774764061
1620046078747841813,17264,1620046078729707714,,77.5369338989,9.68283748627,1.28286099434,314.382324219,188.868972778,2.51774764061
1620046078781591014,17265,1620046078760280760,,75.1538238525,9.61261940002,1.28078365326,314.077850342,188.172271729,2.51774764061
1620046078807588506,17266,1620046078792242162,,48.949344635,9.89878082275,1.2475823164,316.049804688,195.798965454,2.51774764061
1620046078846909550,17267,1620046078830503606,,50.141040802,9.93456840515,1.24469459057,316.200012207,196.212677002,2.51774764061
1620046078887638102,17268,1620046078866603159,,49.2623558044,10.0832366943,1.24768960476,316.319885254,196.845657349,2.51774764061
1620046078915822726,17269,1620046078898522752,,51.3610534668,9.90604305267,1.24664509296,316.297241211,196.548416138,2.51774764061
1620046078946787910,17270,1620046078930775783,,74.9458236694,9.67853355408,1.28941655159,314.246765137,188.254272461,2.51774764061
1620046078984768100,17271,1620046078966565228,,75.7277526855,9.63401317596,1.28014421463,313.926269531,187.904281616,2.51774764061
1620046079016689168,17272,1620046078998522839,,67.9225616455,9.62184143066,1.27900314331,314.95324707,191.227584839,2.51774764061
1620046079053859910,17273,1620046079030725614,,77.2330093384,9.45539188385,1.27779006958,313.808990479,187.874755859,2.51774764061
1620046079084766277,17274,1620046079066595011,,50.7982788086,9.87290668488,1.24568939209,316.201965332,196.330368042,2.51774764061
1620046079117029881,17275,1620046079098635174,,50.2808761597,9.80551624298,1.25002980232,316.388031006,196.88444519,2.51774764061
1620046079147058516,17276,1620046079130622979,,74.4295425415,9.42338371277,1.27733457088,313.73916626,187.23449707,2.51774764061
1620046079183325342,17277,1620046079167043154,,49.8117713928,9.88847637177,1.25139248371,316.346191406,196.423400879,2.51774764061
1620046079211597612,17278,1620046079192905766,,51.3663101196,9.80361557007,1.24698865414,316.193267822,196.436187744,2.51774764061
1620046079248261053,17279,1620046079224956959,,50.2795219421,9.80282592773,1.25059139729,316.195068359,196.422866821,2.51774764061
1620046079277411303,17280,1620046079261106633,,50.1489524841,10.0512046814,1.2553358078,316.331451416,196.42817688,2.51774764061
1620046079307844075,17281,1620046079292782689,,84.7194900513,9.25566387177,1.29868865013,317.029449463,199.586853027,2.51774764061
1620046079338400544,17282,1620046079323903463,,51.2071609497,9.81537723541,1.24819409847,316.365447998,196.679412842,2.51774764061
1620046079376855095,17283,1620046079362035799,,77.3702850342,9.48410129547,1.27719080448,313.15625,185.302337646,2.51774764061
1620046079414236480,17284,1620046079398463281,,51.8026847839,9.68876361847,1.24560272694,316.109771729,196.323852539,2.51774764061
1620046079446124449,17285,1620046079430433313,,73.6071624756,9.47399616241,1.2820545435,314.438873291,189.482513428,2.51774764061
1620046079482364798,17286,1620046079466416371,,51.0321235657,9.8945350647,1.24961435795,316.167633057,196.108596802,2.51774764061
1620046079508831504,17287,1620046079492803626,,49.9867401123,9.66275215149,1.2477016449,316.337036133,196.980026245,2.51774764061
1620046079541297646,17288,1620046079524727141,,51.6887435913,9.61364078522,1.24353408813,316.085510254,196.237533569,2.51774764061
1620046079579152985,17289,1620046079560669901,,48.8549079895,10.0731172562,1.2498664856,315.995056152,195.602752686,2.51774764061
1620046079609630786,17290,1620046079592718820,,50.9360122681,9.99955654144,1.24669384956,316.12512207,196.044555664,2.51774764061
1620046079645688533,17291,1620046079631021283,,51.5914764404,9.88140392303,1.25047957897,316.266296387,196.615844727,2.51774764061
1620046079677046554,17292,1620046079660730329,,75.6776351929,9.38594150543,1.28723835945,314.24786377,188.570037842,2.51774764061
1620046079716308425,17293,1620046079698468726,,63.944683075,9.41354751587,1.28075993061,315.283630371,192.73765564,2.51774764061
1620046079754278014,17294,1620046079734779231,,79.8681488037,9.32666873932,1.27715671062,313.92300415,188.164627075,2.51774764061
1620046079777438097,17295,1620046079760678621,,50.8982048035,9.9654006958,1.25316274166,316.038360596,195.604797363,2.51774764061
1620046079815084834,17296,1620046079798873569,,57.6821022034,3.98851323128,1.2746642828,351.187957764,207.281112671,2.51774764061
1620046079850579764,17297,1620046079834609512,,65.4297714233,9.7442817688,1.26587879658,314.802703857,191.364303589,2.51774764061
1620046079886332716,17298,1620046079866920970,,52.1468467712,9.86356925964,1.25356638432,316.241821289,196.180541992,2.51774764061
1620046079914847902,17299,1620046079898472258,,51.4513435364,9.79326057434,1.25565624237,316.46572876,197.056503296,2.51774764061
1620046079952303304,17300,1620046079935935189,,51.8754386902,9.55881881714,1.24861001968,316.381530762,197.050796509,2.51774764061
1620046079985053791,17301,1620046079967695733,,50.6649284363,9.84091377258,1.25361680984,316.259094238,196.148834229,2.51774764061
1620046080018878906,17302,1620046079998811416,,56.0383262634,4.0463719368,1.27726507187,350.938415527,206.56640625,2.51774764061
1620046080042958899,17303,1620046080028441317,,67.5127639771,9.43424320221,1.27771496773,314.779876709,190.891433716,2.51774764061
1620046080084219474,17304,1620046080066632009,,65.753074646,9.40024852753,1.27316272259,315.060882568,191.943832397,2.51774764061
1620046080115642369,17305,1620046080098955287,,69.6222686768,9.35750102997,1.27357292175,314.757019043,191.25479126,2.51774764061
1620046080151087874,17306,1620046080134672959,,50.9976539612,9.76170539856,1.24860787392,316.268371582,196.235107422,2.51774764061
1620046080189706047,17307,1620046080166757951,,75.5921401978,9.38746929169,1.28346252441,314.191314697,188.601013184,2.51774764061
1620046080214658477,17308,1620046080197759252,,69.880317688,9.2358751297,1.27762007713,314.458129883,190.103561401,2.51774764061
1620046080252784252,17309,1620046080234735491,,51.3144302368,9.68699169159,1.24827098846,316.111297607,195.768295288,2.51774764061
1620046080277210161,17310,1620046080261047992,,59.3572502136,3.88316559792,1.27365708351,351.555328369,208.325363159,2.51774764061
1620046080312301820,17311,1620046080292938997,,58.2879676819,3.95051169395,1.27608954906,351.165161133,207.539672852,2.51774764061
1620046080349194600,17312,1620046080334804560,,51.5741844177,9.76005077362,1.24857854843,316.327972412,196.744720459,2.51774764061
1620046080385271749,17313,1620046080367886303,,49.4477500916,10.0123901367,1.23918533325,316.00378418,195.95489502,2.51774764061
1620046080418076023,17314,1620046080399330394,,50.0473747253,9.96465873718,1.24049723148,316.121490479,196.329162598,2.51774764061
1620046080443154615,17315,1620046080428658061,,52.8629379272,9.90789699554,1.25888931751,316.109283447,195.974380493,2.51774764061
