%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1620046078253958733,47,1620046078152066946,,-1.32034468651,0.247013777494,0.664304852486
1620046078357793820,48,1620046078254216909,,-1.32034409046,0.24701410532,0.664305090904
1620046078408238008,49,1620046078356259107,,-1.32034432888,0.247014060616,0.6643050313
1620046078510381726,50,1620046078408409118,,-1.32034468651,0.247013896704,0.664304971695
1620046078613720693,51,1620046078510570049,,-1.32034409046,0.247014403343,0.664304971695
1620046078663883060,52,1620046078612751007,,-1.32034409046,0.247014120221,0.664305090904
1620046078765751127,53,1620046078664167881,,-1.32034420967,0.247014030814,0.6643050313
1620046078867689032,54,1620046078765866041,,-1.32034409046,0.247014388442,0.664305150509
1620046078919407166,55,1620046078868099927,,-1.32034397125,0.247014343739,0.664305329323
1620046079021400127,56,1620046078919616937,,-1.32034373283,0.247014269233,0.664305329323
1620046079123412457,57,1620046079021711111,,-1.3203445673,0.247014313936,0.664304971695
1620046079176432771,58,1620046079123812913,,-1.32034432888,0.247014448047,0.664304971695
1620046079328655693,59,1620046079176672935,,-1.32034420967,0.247014418244,0.66430491209
1620046079380296848,60,1620046079329107999,,-1.32034397125,0.247014522552,0.664305090904
1620046079482660621,61,1620046079380481004,,-1.32034397125,0.247014611959,0.664305090904
1620046079583635333,62,1620046079482176065,,-1.32034432888,0.247014462948,0.664304792881
1620046079638365842,63,1620046079583758115,,-1.32034432888,0.247014313936,0.664304852486
1620046079740905468,64,1620046079639086961,,-1.32034385204,0.247014030814,0.664305329323
1620046079842695786,65,1620046079740663051,,-1.32034409046,0.247014373541,0.664305150509
1620046079895126893,66,1620046079842932939,,-1.32034409046,0.247014209628,0.664305210114
1620046079997132751,67,1620046079895423889,,-1.32034385204,0.247013881803,0.664305269718
1620046080098820554,68,1620046079997456073,,-1.32034397125,0.247014343739,0.664305150509
1620046080150741235,69,1620046080099020004,,-1.32034420967,0.247014418244,0.664305090904
1620046080253290566,70,1620046080151240110,,-1.32034468651,0.24701449275,0.664304792881
1620046080354878300,71,1620046080253705024,,-1.32034468651,0.247013553977,0.66430491209
1620046080456959189,72,1620046080355110883,,-1.32034432888,0.247015401721,0.664304494858
1620046080559815579,73,1620046080457329988,,-1.32034480572,0.247014790773,0.66430413723
1620046080661318544,74,1620046080559472084,,-1.32034683228,0.247014120221,0.664302885532
1620046080763880475,75,1620046080661672115,,-1.32034182549,0.246998861432,0.664302945137
1620046080866413209,76,1620046080763950109,,-1.32031750679,0.246955886483,0.6643050313
1620046080968095301,77,1620046080866050004,,-1.32029366493,0.246852040291,0.664304435253
1620046081071165126,78,1620046080968566894,,-1.32030558586,0.246510952711,0.664296805859
1620046081172507440,79,1620046081070841073,,-1.32030928135,0.246126160026,0.664291024208
1620046081274693829,80,1620046081173062086,,-1.32029831409,0.245734736323,0.664284229279
1620046081377286144,81,1620046081275398969,,-1.32028150558,0.24525976181,0.664278328419
1620046081479593330,82,1620046081377629041,,-1.32026898861,0.244758799672,0.664265394211
1620046081581338371,83,1620046081479525089,,-1.32023644447,0.244269832969,0.664252758026
1620046081683575178,84,1620046081581635951,,-1.32021331787,0.243794381618,0.664239227772
1620046081785037919,85,1620046081683825016,,-1.32019901276,0.243399083614,0.664224088192
1620046081886463685,86,1620046081785156965,,-1.32019305229,0.243194848299,0.664208710194
1620046081987823624,87,1620046081886632919,,-1.32019114494,0.243185028434,0.664200663567
1620046082089871218,88,1620046081987962961,,-1.32019758224,0.243186712265,0.664194762707
1620046082191821262,89,1620046082090075016,,-1.32020151615,0.243187978864,0.664190948009
1620046082294526699,90,1620046082192233085,,-1.32020425797,0.243189439178,0.664188086987
1620046082396034339,91,1620046082294226884,,-1.32020688057,0.243190214038,0.664185583591
1620046082547389291,92,1620046082396321058,,-1.32020914555,0.243191346526,0.66418325901
1620046082649720559,93,1620046082547630071,,-1.32021188736,0.243192344904,0.664180636406
1620046082751968490,94,1620046082650013923,,-1.32021379471,0.243193000555,0.664179265499
1620046082853698074,95,1620046082752449989,,-1.3202149868,0.243193477392,0.664178431034
1620046082955397391,96,1620046082853833913,,-1.32021522522,0.243193924427,0.664177775383
1620046083057569123,97,1620046082955842018,,-1.32021582127,0.243194654584,0.664177179337
1620046083159888168,98,1620046083057962894,,-1.32021653652,0.243195056915,0.664176642895
1620046083261156552,99,1620046083160046100,,-1.32021665573,0.243195429444,0.664176464081
1620046083362808451,100,1620046083261431932,,-1.32021713257,0.243195936084,0.664175927639
1620046083465216890,101,1620046083363140106,,-1.32021701336,0.243196383119,0.664175927639
1620046083567599650,102,1620046083465622901,,-1.32021725178,0.243195801973,0.664175927639
1620046083668570804,103,1620046083567251920,,-1.32021713257,0.243196800351,0.664175927639
1620046083770120470,104,1620046083668644905,,-1.32021701336,0.243197143078,0.664175748825
1620046083872453103,105,1620046083770297050,,-1.32021737099,0.24319703877,0.664175748825
1620046083924481230,106,1620046083873234987,,-1.32021689415,0.243198037148,0.664175987244
1620046084026297326,107,1620046083924649953,,-1.32021713257,0.243198931217,0.664175868034
1620046084128788674,108,1620046084026797056,,-1.32021689415,0.24319781363,0.664175868034
1620046084230601156,109,1620046084129009962,,-1.32021665573,0.243198692799,0.664175927639
1620046084332594473,110,1620046084230895042,,-1.32021653652,0.243199601769,0.664175927639
1620046084434688570,111,1620046084332758903,,-1.32021665573,0.243200302124,0.66417580843
1620046084536166938,112,1620046084434870958,,-1.32021689415,0.243199720979,0.66417568922
1620046084637722838,113,1620046084536361932,,-1.32021737099,0.243199810386,0.66417568922
1620046084740094810,114,1620046084637967109,,-1.32021689415,0.243200048804,0.66417580843
1620046084842396506,115,1620046084740648984,,-1.32021641731,0.243200808764,0.664176166058
1620046084944404417,116,1620046084842792034,,-1.32021641731,0.243201702833,0.664176225662
1620046085046866743,117,1620046084944781064,,-1.32021617889,0.243201881647,0.664176285267
1620046085148836456,118,1620046085046994924,,-1.32021582127,0.243201702833,0.664176523685
1620046085251526107,119,1620046085149544954,,-1.32021558285,0.243201434612,0.66417658329
1620046085354099141,120,1620046085252015113,,-1.32021570206,0.24320153892,0.664176464081
1620046085456119328,121,1620046085354295969,,-1.32021534443,0.243202224374,0.664176464081
1620046085558300066,122,1620046085456495046,,-1.32021534443,0.243201702833,0.664176523685
1620046085660769984,123,1620046085558618068,,-1.32021546364,0.243202507496,0.664176464081
1620046085762617278,124,1620046085660856962,,-1.32021510601,0.243202880025,0.664176523685
1620046085864587263,125,1620046085763024091,,-1.32021510601,0.243203401566,0.664176404476
1620046085966729503,126,1620046085864876985,,-1.32021510601,0.243203252554,0.664176344872
1620046086069030898,127,1620046085967495918,,-1.32021510601,0.24320282042,0.664176464081
1620046086172115295,128,1620046086069309949,,-1.32021510601,0.24320307374,0.66417658329
1620046086273548287,129,1620046086171621084,,-1.32021510601,0.243202775717,0.664176642895
1620046086376945887,130,1620046086274275064,,-1.32021486759,0.243204340339,0.664176642895
1620046086479016548,131,1620046086377051115,,-1.32021474838,0.243204474449,0.664176642895
1620046086581625169,132,1620046086479815959,,-1.3202149868,0.243203982711,0.66417658329
1620046086684083101,133,1620046086581995964,,-1.32021486759,0.243204817176,0.66417658329
1620046086786291587,134,1620046086684348106,,-1.32021546364,0.243201836944,0.664176523685
1620046086889071183,135,1620046086786581039,,-1.32019770145,0.242975965142,0.664183557034
1620046086990562456,136,1620046086888804912,,-1.32018125057,0.242392987013,0.664191246033
1620046087092577218,137,1620046086990906953,,-1.32034051418,0.242280304432,0.664160549641
1620046087194736827,138,1620046087092984914,,-1.32067418098,0.242428839207,0.664116382599
1620046087296855606,139,1620046087195138931,,-1.32095563412,0.242633506656,0.66410368681
1620046087349184071,140,1620046087297205924,,-1.32116603851,0.242807373405,0.664133489132
1620046087451747145,141,1620046087349621057,,-1.3212749958,0.242889717221,0.664151549339
1620046087554387536,142,1620046087452835083,,-1.32144236565,0.243159919977,0.664190948009
1620046087662828110,143,1620046087554682970,,-1.32163929939,0.24341674149,0.664235413074
1620046087758648213,144,1620046087656797885,,-1.321808815,0.243641942739,0.664292633533
1620046087860680235,145,1620046087758929014,,-1.32198929787,0.243861541152,0.66433429718
1620046087962117901,146,1620046087861004114,,-1.32220327854,0.244095206261,0.664372563362
1620046088064021066,147,1620046087962311029,,-1.32239425182,0.244297072291,0.664407074451
1620046088166174043,148,1620046088064219951,,-1.32261645794,0.244488224387,0.664434015751
