%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1620046078254514485,6682,1620046078152066946,,0.0,0.0,0.0,0.0
1620046078357759990,6683,1620046078254216909,,0.0,9.99999974738e-06,0.0,0.0
1620046078408323029,6684,1620046078356259107,,0.0,-0.0,-0.0,-0.0
1620046078510482909,6685,1620046078408409118,,0.0,-0.0,-0.0,-0.0
1620046078612616775,6686,1620046078510570049,,0.0,0.0,0.0,0.0
1620046078664102540,6687,1620046078612751007,,0.0,0.0,-0.0,0.0
1620046078765686099,6688,1620046078664167881,,0.0,-0.0,-0.0,-0.0
1620046078868353419,6689,1620046078765866041,,0.0,0.0,0.0,0.0
1620046078919582310,6690,1620046078868099927,,0.0,0.0,-0.0,0.0
1620046079022018258,6691,1620046078919616937,,0.0,0.0,-0.0,0.0
1620046079123650093,6692,1620046079021711111,,0.0,-9.99999974738e-06,0.0,-0.0
1620046079176944013,6693,1620046079123812913,,0.0,0.0,0.0,-0.0
1620046079329011238,6694,1620046079176672935,,0.0,0.0,-0.0,-0.0
1620046079380359605,6695,1620046079329107999,,0.0,0.0,0.0,0.0
1620046079482421891,6696,1620046079380481004,,0.0,-0.0,0.0,-0.0
1620046079583719274,6697,1620046079482176065,,0.0,-0.0,-0.0,-0.0
1620046079638898302,6698,1620046079583758115,,0.0,0.0,-0.0,0.0
1620046079741131143,6699,1620046079639086961,,0.0,9.99999974738e-06,-0.0,9.99999974738e-06
1620046079842796994,6700,1620046079740663051,,0.0,-0.0,0.0,-0.0
1620046079895246307,6701,1620046079842932939,,0.0,-0.0,-0.0,0.0
1620046079997714846,6702,1620046079895423889,,0.0,0.0,-9.99999974738e-06,0.0
1620046080098927487,6703,1620046079997456073,,0.0,-0.0,0.0,-0.0
1620046080151533884,6704,1620046080099020004,,0.0,-0.0,0.0,-0.0
1620046080253970724,6705,1620046080151240110,,0.0,-9.99999974738e-06,0.0,-9.99999974738e-06
1620046080355046821,6706,1620046080253705024,,0.0,-0.0,-9.99999974738e-06,0.0
1620046080457149749,6707,1620046080355110883,,0.0,0.0,1.99999994948e-05,-0.0
1620046080559790013,6708,1620046080457329988,,0.0,-0.0,-9.99999974738e-06,-0.0
1620046080661568380,6709,1620046080559472084,,0.0,-1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1620046080764266505,6710,1620046080661672115,,0.000199999994948,4.99999987369e-05,-0.000150000007125,0.0
1620046080866380286,6711,1620046080763950109,,0.000500000023749,0.000239999993937,-0.000419999996666,1.99999994948e-05
1620046080969127518,6712,1620046080866050004,,0.0010000000475,0.000230000005104,-0.00101999996696,-9.99999974738e-06
1620046081071222528,6713,1620046080968566894,,0.00329999998212,-0.000119999996969,-0.00332999997772,-7.00000018696e-05
1620046081172939875,6714,1620046081070841073,,0.00380000006407,-3.99999989895e-05,-0.00375999999233,-5.99999984843e-05
1620046081275184571,6715,1620046081173062086,,0.00380000006407,0.000110000000859,-0.00383000005968,-7.00000018696e-05
1620046081377631023,6716,1620046081275398969,,0.00460000010207,0.000159999995958,-0.00463999994099,-5.99999984843e-05
1620046081479736778,6717,1620046081377629041,,0.00490000005811,0.000119999996969,-0.00490000005811,-0.000130000000354
1620046081581980898,6718,1620046081479525089,,0.00480000022799,0.000319999991916,-0.00480000022799,-0.000119999996969
1620046081683667076,6719,1620046081581635951,,0.0046999999322,0.000230000005104,-0.00466000009328,-0.000130000000354
1620046081785376767,6720,1620046081683825016,,0.0038999998942,0.000140000003739,-0.0038699998986,-0.000150000007125
1620046081886487649,6721,1620046081785156965,,0.00200000009499,5.99999984843e-05,-0.00202000001445,-0.000150000007125
1620046081988176828,6722,1620046081886632919,,9.99999974738e-05,1.99999994948e-05,-9.99999974738e-05,-7.9999997979e-05
1620046082090359495,6723,1620046081987962961,,9.99999974738e-05,-5.99999984843e-05,1.99999994948e-05,-5.99999984843e-05
1620046082192120876,6724,1620046082090075016,,9.99999974738e-05,-3.99999989895e-05,9.99999974738e-06,-3.99999989895e-05
1620046082294506566,6725,1620046082192233085,,0.0,-2.99999992421e-05,9.99999974738e-06,-2.99999992421e-05
1620046082396742337,6726,1620046082294226884,,0.0,-2.99999992421e-05,9.99999974738e-06,-1.99999994948e-05
1620046082547850246,6727,1620046082396321058,,0.0,-1.99999994948e-05,9.99999974738e-06,-1.99999994948e-05
1620046082650257112,6728,1620046082547630071,,0.0,-1.99999994948e-05,9.99999974738e-06,-1.99999994948e-05
1620046082752266501,6729,1620046082650013923,,0.0,-1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1620046082854067150,6730,1620046082752449989,,0.0,-9.99999974738e-06,0.0,-9.99999974738e-06
1620046082955698296,6731,1620046082853833913,,0.0,-0.0,0.0,-9.99999974738e-06
1620046083057838862,6732,1620046082955842018,,0.0,-9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1620046083159922308,6733,1620046083057962894,,0.0,-9.99999974738e-06,0.0,-9.99999974738e-06
1620046083261313651,6734,1620046083160046100,,0.0,-0.0,0.0,-0.0
1620046083363036543,6735,1620046083261431932,,0.0,-0.0,0.0,-9.99999974738e-06
1620046083465941678,6736,1620046083363140106,,0.0,0.0,0.0,0.0
1620046083567080373,6737,1620046083465622901,,0.0,-0.0,-9.99999974738e-06,-0.0
1620046083668844999,6738,1620046083567251920,,0.0,0.0,9.99999974738e-06,0.0
1620046083770580819,6739,1620046083668644905,,0.0,0.0,0.0,-0.0
1620046083873023402,6740,1620046083770297050,,0.0,-0.0,-0.0,-0.0
1620046083924844474,6741,1620046083873234987,,0.0,0.0,9.99999974738e-06,0.0
1620046084027028132,6742,1620046083924649953,,0.0,-0.0,1.99999994948e-05,-0.0
1620046084128831523,6743,1620046084026797056,,0.0,0.0,-9.99999974738e-06,0.0
1620046084231180918,6744,1620046084129009962,,0.0,0.0,9.99999974738e-06,0.0
1620046084332971462,6745,1620046084230895042,,0.0,0.0,9.99999974738e-06,0.0
1620046084434847187,6746,1620046084332758903,,0.0,-0.0,9.99999974738e-06,-0.0
1620046084536226915,6747,1620046084434870958,,0.0,-0.0,-9.99999974738e-06,-0.0
1620046084637744474,6748,1620046084536361932,,0.0,-0.0,0.0,-0.0
1620046084740523382,6749,1620046084637967109,,0.0,0.0,0.0,0.0
1620046084842469447,6750,1620046084740648984,,0.0,0.0,9.99999974738e-06,0.0
1620046084944711532,6751,1620046084842792034,,0.0,0.0,9.99999974738e-06,0.0
1620046085046797101,6752,1620046084944781064,,0.0,0.0,0.0,0.0
1620046085149839448,6753,1620046085046994924,,0.0,0.0,-0.0,0.0
1620046085252312742,6754,1620046085149544954,,0.0,0.0,-0.0,0.0
