# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 329
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 329
DATA ascii
0.1072035 0.023944501 0.085179247
0.11194 0.023894999 0.085661002
0.112142 0.023874499 0.084982
0.13154899 0.023245834 0.085451424
0.13228299 0.023747668 0.08590167
0.135865 0.0236005 0.085887998
0.13628325 0.023449749 0.085599497
0.10756098 0.024839237 0.084755406
0.10893726 0.025307002 0.085473627
0.11113745 0.0251153 0.085529312
0.112106 0.024981251 0.085009374
0.13153835 0.024981214 0.084850855
0.13273288 0.025090437 0.085704565
0.13535519 0.025269 0.085579313
0.13620242 0.024908857 0.084961854
0.1079515 0.026498001 0.084244996
0.10897005 0.026993277 0.084853724
0.11094361 0.026905445 0.085369885
0.11220034 0.026960224 0.084906444
0.13160262 0.026991464 0.084970698
0.13291132 0.026993997 0.085740447
0.13502873 0.026954548 0.085415266
0.10950677 0.028880689 0.08454407
0.1108672 0.028991899 0.085152306
0.11264572 0.028954834 0.08487045
0.13125344 0.029158266 0.085302316
0.13309999 0.029048668 0.085794233
0.13461334 0.028934615 0.085103095
0.10989767 0.030369667 0.084321
0.11110658 0.031005848 0.084992915
0.11296245 0.031023746 0.085450411
0.11420933 0.031633999 0.084954999
0.13079844 0.031070869 0.085474685
0.13333385 0.030990316 0.085580207
0.1341835 0.030575249 0.084861502
0.11151753 0.032886602 0.084576398
0.11296941 0.032982558 0.085440524
0.11448038 0.033144232 0.085347846
0.12962501 0.033195332 0.084994227
0.13086654 0.032948889 0.085761525
0.13291657 0.032906003 0.085341528
0.111916 0.034198999 0.084192
0.11295437 0.034957666 0.084977672
0.11511522 0.03493274 0.085326828
0.116106 0.0359 0.084983997
0.129356 0.035017602 0.085496202
0.13107881 0.034781601 0.085942402
0.13264458 0.034642499 0.085177287
0.11322919 0.036949005 0.084739953
0.11499386 0.036931045 0.08551982
0.11661671 0.037270643 0.085297711
0.12909512 0.037015647 0.085629106
0.13141112 0.036759142 0.085914001
0.13218199 0.037110202 0.085665405
0.11338799 0.038944267 0.084576525
0.11506667 0.039022502 0.085452728
0.11691422 0.039067563 0.085290596
0.12907432 0.039026801 0.085651472
0.13099651 0.039734498 0.085920498
0.13229981 0.0391046 0.0858294
0.11339606 0.040993672 0.08443813
0.11502869 0.041022636 0.085342817
0.11695088 0.041018438 0.085227385
0.1181035 0.041762002 0.084501997
0.12922226 0.041080624 0.085466251
0.13097414 0.040844787 0.08594086
0.132405 0.041097283 0.08578229
0.11354392 0.042873781 0.084452368
0.11498372 0.042968906 0.085246004
0.11699073 0.04289316 0.085156605
0.11805683 0.043085169 0.084510334
0.12930767 0.043056335 0.085415557
0.13070919 0.043227181 0.085874267
0.13253389 0.043027893 0.08579544
0.11362093 0.044973914 0.084392421
0.11486109 0.044990994 0.085174158
0.11707528 0.04507187 0.08521013
0.11813883 0.044923499 0.084588833
0.12934247 0.044945687 0.085276894
0.13099644 0.044983432 0.08585231
0.13248688 0.045003623 0.085798874
0.11364672 0.046938002 0.084322453
0.11492963 0.046951 0.085127614
0.11711804 0.046935752 0.085214622
0.11830959 0.046871401 0.0845211
0.12945279 0.047006 0.0852134
0.13087229 0.047095213 0.085847005
0.1326945 0.046971422 0.085767917
0.11365963 0.048787374 0.084250748
0.11481879 0.04909635 0.085051529
0.11695086 0.049008682 0.085382313
0.11830157 0.049127288 0.084792569
