# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 95032
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 95032
DATA ascii
-0.10188 0.170959 0.030208999
-0.102266 0.17055701 0.030681999
-0.102246 0.17033 0.030583
-0.10239 0.17003199 0.030716
-0.102541 0.169732 0.030858999
-0.102676 0.169439 0.030979
-0.10266 0.16921 0.030888001
-0.102808 0.168911 0.031026
-0.102958 0.168612 0.031168001
-0.103105 0.16831499 0.031305
-0.103236 0.168024 0.03142
-0.103217 0.167796 0.031323999
-0.103356 0.167502 0.03145
-0.103495 0.167208 0.031576999
-0.103629 0.166917 0.031695001
-0.103772 0.166622 0.031826999
-0.103903 0.16633201 0.031941999
-0.104061 0.166031 0.032095
-0.104211 0.16573399 0.032237001
-0.10437 0.165434 0.032391999
-0.104361 0.16520099 0.032310002
-0.104652 0.164848 0.032650001
-0.104646 0.16461401 0.032573
-0.104934 0.164262 0.032910001
-0.105084 0.163967 0.033052001
-0.10507 0.163736 0.032963
-0.105217 0.163442 0.033101998
-0.105357 0.16315 0.033229999
-0.105501 0.16285799 0.033363
-0.105629 0.162571 0.033475
-0.105617 0.16234 0.033388998
-0.105758 0.162049 0.033519
-0.106061 0.16169401 0.033877999
-0.106053 0.16146199 0.033797
-0.106336 0.161116 0.034127999
-0.106324 0.16088501 0.034042001
-0.106622 0.16053399 0.034394
-0.10662 0.160299 0.034322001
-0.106761 0.160009 0.034451999
-0.106887 0.159725 0.034561999
-0.106871 0.159495 0.034471001
-0.107009 0.159207 0.034596
-0.107005 0.15897299 0.034522001
-0.107157 0.15868001 0.034667
-0.107449 0.158333 0.035011999
-0.107599 0.158041 0.035154998
-0.107893 0.15769599 0.035503
-0.107882 0.157464 0.035418
-0.108013 0.15718 0.035535
-0.108009 0.156946 0.035459999
-0.108297 0.15660401 0.035799
-0.108282 0.15637399 0.03571
-0.108404 0.156093 0.035813
-0.108539 0.155808 0.035935
-0.108839 0.155463 0.036292002
-0.10884 0.15522701 0.036226001
-0.108979 0.15494099 0.036354002
-0.108966 0.15470999 0.036267001
-0.10925 0.15437301 0.036600001
-0.109393 0.15408599 0.036734
-0.109545 0.153796 0.036881998
-0.109673 0.153515 0.036995001
-0.109813 0.15323 0.037124999
-0.109808 0.152996 0.037050001
-0.11009 0.152661 0.037381001
-0.110079 0.15243 0.037298001
-0.110068 0.152198 0.037213001
-0.110351 0.15186401 0.037546001
-0.110499 0.151577 0.037687998
-0.110643 0.151292 0.037825
-0.110631 0.15106 0.037739001
-0.1109 0.150732 0.038052998
-0.110897 0.150498 0.037978999
-0.11089 0.15026499 0.037900999
-0.111159 0.149938 0.038215999
-0.111139 0.14971 0.038118001
-0.111254 0.149435 0.038213
-0.111247 0.149202 0.038134001
-0.111395 0.148917 0.038276002
-0.111551 0.14862899 0.038431
-0.111834 0.14829899 0.038766
-0.111979 0.14801501 0.038904
-0.112129 0.14772999 0.039050002
-0.11226 0.147452 0.039168
-0.112239 0.14722399 0.039069001
-0.112368 0.146946 0.039184999
-0.112657 0.146616 0.039528999
-0.112656 0.14638101 0.03946
-0.112786 0.14610399 0.039576001
-0.112914 0.145827 0.039689999
-0.113061 0.14554501 0.039833002
-0.11319 0.14526799 0.039946999
-0.113321 0.144991 0.040066
-0.113303 0.14476199 0.039972
-0.112188 0.14464299 0.038236
-0.114129 0.140497 0.039983999
-0.114262 0.140221 0.040105
-0.114668 0.139392 0.040483002
-0.114787 0.139121 0.040585
-0.114784 0.138886 0.040511001
-0.116131 0.13826001 0.042385001
-0.116249 0.13799199 0.042484999
-0.116232 0.137761 0.042392001
-0.116236 0.13752501 0.042328998
-0.116658 0.13717 0.042869002
-0.116919 0.136861 0.043177001
-0.116903 0.136631 0.043085001
-0.116893 0.136398 0.043003
-0.117038 0.136123 0.043141998
-0.117306 0.135814 0.043460999
-0.117285 0.135585 0.043361001
-0.117083 0.135405 0.043001
-0.116864 0.13522901 0.042615999
-0.151125 0.063727997 0.073965997
-0.15113799 0.063497998 0.073918998
-0.151252 0.063281 0.074029997
-0.15146001 0.063077003 0.074286997
-0.151467 0.062847003 0.07423
-0.151695 0.062646002 0.074519999
-0.151806 0.062430002 0.074625999
-0.151912 0.062213998 0.074724004
-0.152013 0.061997 0.074814998
-0.152126 0.061781 0.074924
-0.152226 0.061565001 0.075014003
-0.15233 0.061347999 0.075108998
-0.152437 0.061133001 0.075208999
-0.152549 0.060918 0.075317003
-0.15265 0.060702 0.075407997
-0.15275501 0.060486998 0.075506002
-0.152859 0.060270999 0.075600997
-0.15287 0.060040999 0.075548999
-0.15288199 0.059811998 0.075502001
-0.153092 0.059613001 0.075764
-0.15320601 0.0594 0.075874999
-0.15331499 0.059186 0.075979002
-0.153522 0.058989 0.076237001
-0.153632 0.058775999 0.076343
-0.153631 0.058543999 0.076274
-0.153722 0.058327999 0.076348998
-0.153317 0.058028001 0.075641997
-0.15341701 0.057812002 0.075732999
-0.153524 0.057599001 0.075832002
-0.153624 0.057383999 0.075921997
-0.15425099 0.057262 0.076843999
-0.154369 0.057052001 0.076963
-0.154572 0.056855999 0.077215001
-0.15457501 0.056626 0.077151999
-0.154677 0.056412999 0.077246003
-0.15468501 0.056182999 0.077191003
-0.15488499 0.055989001 0.077437997
-0.1549 0.05576 0.077394001
-0.15511 0.055567998 0.077659003
-0.155224 0.055358 0.077771001
-0.155333 0.055148002 0.077876002
-0.155246 0.054900002 0.07767
-0.15525401 0.054669999 0.077615
-0.155746 0.054535002 0.078327999
-0.15584999 0.054324001 0.078423999
-0.15584899 0.054093 0.078354999
-0.155945 0.053881001 0.078438997
-0.15595999 0.053652 0.078396
-0.155981 0.053424999 0.078359999
-0.155984 0.053194001 0.078296997
-0.155983 0.052963 0.078229003
-0.155983 0.052731 0.078160003
-0.156083 0.052519999 0.078250997
-0.156091 0.052289002 0.078197002
-0.15658499 0.052163001 0.078913003
-0.156692 0.051954001 0.079015002
-0.156794 0.051745001 0.079109997
-0.156507 0.051451001 0.078584999
-0.15700901 0.051329002 0.079315998
-0.157225 0.051144999 0.079591997
-0.157543 0.050983999 0.080029003
-0.158134 0.050886001 0.080902003
-0.15823901 0.05068 0.081003003
-0.157454 0.050271001 0.079686001
-0.157847 0.050129998 0.080243997
-0.158058 0.049947001 0.080513
-0.158556 0.049832001 0.081239
-0.158764 0.049649999 0.081502996
-0.158867 0.049444001 0.081600003
-0.158876 0.049215999 0.081546001
-0.158876 0.048985999 0.081478998
-0.158967 0.048776999 0.081556
-0.158678 0.048477001 0.081027001
-0.158585 0.048223998 0.080812
-0.158796 0.048044 0.081079997
-0.15948699 0.047982998 0.082117997
-0.159685 0.047802001 0.082367003
-0.159995 0.047419999 0.082727998
-0.15970699 0.045269001 0.081658997
-0.159621 0.045015 0.081454001
-0.159729 0.044812001 0.081559002
-0.16023999 0.044255 0.082176
-0.161033 0.043779999 0.083246998
-0.161136 0.043577999 0.083345003
-0.16133399 0.043403 0.083595999
-0.161347 0.043175999 0.083549
-0.161552 0.043003999 0.083811
-0.161562 0.042776 0.083759002
-0.161653 0.042571001 0.083838001
-0.161561 0.042314 0.083622999
-0.161654 0.04211 0.083705999
-0.161751 0.041907001 0.083793998
-0.16185901 0.041708 0.083901003
-0.162246 0.041591 0.084457003
-0.161881 0.041251998 0.083800003
-0.16205999 0.041074999 0.084022
-0.162058 0.040842999 0.083952002
-0.16242801 0.040723 0.084480003
-0.16225199 0.040438998 0.084128
-0.16226199 0.040211 0.084077999
-0.162367 0.040011 0.084178999
-0.16238099 0.039783999 0.084133998
-0.16239101 0.039556 0.084082998
-0.162486 0.039354 0.084168002
-0.162688 0.039184999 0.084426001
-0.163156 0.039101001 0.085116997
-0.163249 0.038899999 0.085198998
-0.16314501 0.038635999 0.084963001
-0.163225 0.038430002 0.085024998
-0.16324 0.038203001 0.084981002
-0.16324399 0.037974 0.084921002
-0.16317201 0.037718002 0.084735997
-0.16326 0.037515 0.084811002
-0.163372 0.037319999 0.084925003
-0.16347399 0.037122 0.085022002
-0.163574 0.036922999 0.085116997
-0.16366699 0.036722001 0.085198998
-0.16375799 0.036520999 0.085281
-0.16377001 0.036293 0.085230999
-0.164318 0.036247 0.086053997
-0.164416 0.036049001 0.086145997
-0.164426 0.035820998 0.086094998
-0.164627 0.035657998 0.086352997
-0.164636 0.035429999 0.086300999
-0.16446701 0.03514 0.085957997
-0.164822 0.035032 0.086468004
-0.16501901 0.034869999 0.086719997
-0.16512799 0.034676999 0.086831003
-0.165319 0.034513 0.087073997
-0.165048 0.033953998 0.086498
-0.165143 0.033755999 0.086584002
-0.16619299 0.032981001 0.087959997
-0.16629601 0.032788001 0.088059999
-0.16639701 0.032593999 0.088156998
-0.166501 0.032402001 0.088260002
-0.16651 0.032175001 0.088207997
-0.16660701 0.03198 0.088298999
-0.166705 0.031785998 0.088390999
-0.16654199 0.031493001 0.088056996
-0.166641 0.031298999 0.088150002
-0.166646 0.03107 0.088091001
-0.166747 0.030877 0.088188998
-0.16704001 0.030758001 0.088601001
-0.16713899 0.030564999 0.088694997
-0.167226 0.030368 0.088771999
-0.16723999 0.030142 0.088725999
-0.167421 0.029982001 0.088955998
-0.16742601 0.029753 0.088895999
-0.167511 0.029555 0.088968001
-0.167596 0.029358 0.089040004
-0.167771 0.029196 0.089259997
-0.167787 0.028971 0.089217998
-0.167886 0.028779 0.089313
-0.167988 0.028589001 0.089413002
-0.16817001 0.028432 0.089644998
-0.168189 0.028208001 0.089607999
-0.168384 0.028055999 0.089861996
-0.168401 0.027832 0.089821003
-0.168492 0.027638 0.089902997
-0.168594 0.027449001 0.090003997
-0.168781 0.027295001 0.090244003
-0.16879299 0.027070001 0.090196997
-0.168974 0.026914001 0.090426996
-0.16942599 0.026873 0.091104999
-0.169609 0.026719 0.091339
-0.16961899 0.026493 0.091288999
-0.16971099 0.026302001 0.091371998
-0.16980299 0.026110999 0.091457002
-0.169468 0.025737001 0.090837002
-0.169999 0.025734 0.091646001
-0.170095 0.025544999 0.091738001
-0.170192 0.025357001 0.091830999
-0.170377 0.025207 0.092069
-0.17047501 0.025018999 0.092164002
-0.17057499 0.024832999 0.092261001
-0.170669 0.024644 0.092349
-0.17084201 0.024490001 0.092568003
-0.171189 0.024413999 0.093075998
-0.171198 0.024188001 0.093023002
-0.170955 0.02385 0.092554003
-0.17087799 0.023584999 0.092358999
-0.17088801 0.023359001 0.092307001
-0.170981 0.02317 0.092394002
-0.171074 0.022980999 0.092481002
-0.171177 0.022798 0.092584997
-0.171279 0.022613 0.092685997
-0.17146499 0.022468001 0.092927001
-0.17147601 0.022242 0.092877999
-0.171562 0.022050999 0.092952996
-0.17155699 0.021818001 0.092877001
-0.171553 0.021586001 0.092804
-0.171637 0.021392999 0.092873998
-0.17164899 0.021167999 0.092827998
-0.17166699 0.020945 0.09279
-0.172105 0.020920999 0.093450002
-0.172207 0.020738 0.093552999
-0.17309999 0.019785 0.094636999
-0.17311101 0.01956 0.094587997
-0.173207 0.019376 0.094681002
-0.173381 0.019231001 0.094903
-0.173476 0.019048 0.094994001
-0.173563 0.018859999 0.095072001
-0.173659 0.018678 0.095165998
-0.173749 0.018492 0.095248997
-0.173843 0.018309001 0.095339
-0.17385501 0.018084999 0.095291004
-0.174031 0.017943 0.095518999
-0.17421 0.017803 0.095751002
-0.17422301 0.017580001 0.095705003
-0.174312 0.017395001 0.095787004
-0.174402 0.017209999 0.095868997
-0.174494 0.017027 0.095957004
-0.17458799 0.016845999 0.096046999
-0.174758 0.016703 0.096265003
-0.17477299 0.016480001 0.096221998
-0.174867 0.016299 0.096312001
-0.17496 0.016116999 0.096401997
-0.175051 0.015935 0.096487001
-0.175144 0.015752999 0.096575998
-0.17531499 0.015613 0.096795999
-0.17533 0.015391 0.096753001
-0.175501 0.015251 0.096974
-0.17551599 0.015029 0.096932001
-0.17568401 0.014888 0.097147003
-0.17577501 0.014707 0.097231999
-0.175871 0.014528 0.097326003
-0.175882 0.014304 0.097277999
-0.176046 0.014163 0.097487003
-0.176137 0.013982 0.097572997
-0.17624 0.013808 0.097678997
-0.17640799 0.013669 0.097893998
-0.17641801 0.013445 0.097843997
-0.17659301 0.013311 0.098072
-0.101421 0.17101599 0.029983999
-0.101832 0.17060301 0.030491
-0.101973 0.170307 0.030618999
-0.102122 0.17000701 0.030758999
-0.102272 0.169708 0.030898999
-0.102396 0.16941901 0.031003
-0.102372 0.169193 0.030901
-0.102515 0.168897 0.031033
-0.102656 0.168602 0.031161999
-0.102653 0.168367 0.031088
-0.102795 0.168071 0.031219
-0.102934 0.167777 0.031344
-0.10307 0.167485 0.031466998
-0.103219 0.16718701 0.031606
-0.103353 0.166896 0.031725001
-0.1035 0.16659901 0.031861998
-0.103638 0.166306 0.031989001
-0.103792 0.166007 0.032136001
-0.104093 0.165648 0.03249
-0.10408 0.165418 0.032403
-0.104067 0.165187 0.032315001
-0.10421 0.164893 0.032448001
-0.10435 0.164601 0.032575
-0.104497 0.164306 0.032714002
-0.104631 0.16401599 0.032832999
-0.104626 0.163782 0.032756999
-0.104922 0.16342799 0.033105001
-0.105074 0.163132 0.03325
-0.10521 0.16284201 0.033372998
-0.105353 0.16255 0.033505999
-0.105341 0.162319 0.033419002
-0.105478 0.162029 0.033544
-0.10577 0.161679 0.033886999
-0.105766 0.16144501 0.033812001
-0.105765 0.161209 0.033741999
-0.106062 0.16085801 0.034093
-0.106359 0.16050699 0.034442
-0.106347 0.160276 0.034357
-0.106482 0.159989 0.034479
-0.10661 0.159704 0.034589998
-0.106596 0.159474 0.034502
-0.10674 0.159183 0.034635998
-0.106887 0.15889201 0.034775998
-0.107035 0.1586 0.034915
-0.107175 0.15831099 0.035046
-0.107308 0.15802599 0.035165001
-0.107446 0.157738 0.035291001
-0.107433 0.157507 0.035204001
-0.107416 0.157278 0.035110999
-0.107703 0.156936 0.035448
-0.107849 0.156646 0.035585999
-0.107837 0.156415 0.035500001
-0.107976 0.156128 0.035627998
-0.108267 0.15578499 0.035973001
-0.108574 0.15543801 0.036338001
-0.108728 0.155146 0.036488
-0.10871 0.154918 0.036394
-0.108835 0.15463699 0.036502998
-0.108986 0.154347 0.036649
-0.109275 0.154008 0.036990002
-0.109266 0.153776 0.036908001
-0.109245 0.153548 0.036809001
-0.109378 0.153265 0.036929999
-0.109512 0.152982 0.037051
-0.109666 0.15269201 0.037200999
-0.109794 0.152412 0.037315
-0.109786 0.152179 0.037234001
-0.110071 0.15184399 0.037571002
-0.110221 0.151556 0.037714999
-0.110361 0.151272 0.037845999
-0.110348 0.151042 0.037758999
-0.110622 0.150712 0.038079999
-0.110611 0.15048 0.037997
-0.110599 0.150249 0.037909999
