# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2292
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2292
DATA ascii
1.5997241 -0.169377 0.99645603
1.60087 -0.16935299 0.99649
1.599794 -0.169103 0.99643201
1.6011314 -0.169076 0.99649203
1.600491 -0.15841299 0.99649698
1.600619 -0.158411 0.99649799
1.59974 -0.15818 0.99646199
1.599931 -0.158176 0.99646449
1.6001855 -0.15817049 0.99649048
1.599872 -0.15794 0.996445
1.600739 -0.15459099 0.99639797
1.600866 -0.154588 0.99640602
1.60039 -0.153789 0.99644202
1.600518 -0.153786 0.99645197
1.6003416 -0.152936 0.99647248
1.601804 -0.151603 0.99643701
1.599759 -0.149249 0.99649298
1.601148 -0.148353 0.99647802
1.6001582 -0.17081906 0.99666232
1.6004056 -0.17081372 0.99668133
1.600659 -0.1708093 0.99661416
1.6009212 -0.17080376 0.99664319
1.6011778 -0.17079765 0.99669629
1.59971 -0.17059 0.99667698
1.5999005 -0.170586 0.99666846
1.6001556 -0.170581 0.99664104
1.60041 -0.17057499 0.996696
1.6006656 -0.170572 0.99659401
1.60092 -0.1705665 0.99662197
1.6011746 -0.170561 0.99662745
1.601365 -0.170555 0.996741
1.5996101 -0.17044699 0.99657297
1.599865 -0.17044151 0.99657953
1.600119 -0.17043549 0.99664402
1.6003735 -0.17043051 0.9966585
1.600629 -0.1704255 0.99661398
1.6008825 -0.1704195 0.9966765
1.6013916 -0.17040899 0.99670446
1.5993476 -0.170044 0.99668002
1.599602 -0.170039 0.99668252
1.5998565 -0.17003399 0.99666846
1.600175 -0.170027 0.99671102
1.600366 -0.1700235 0.99666655
1.6006205 -0.17001849 0.99667597
1.600811 -0.170013 0.99674898
1.601193 -0.17000601 0.99674201
1.601384 -0.170002 0.99674046
1.5994015 -0.16962349 0.9966765
1.599656 -0.1696175 0.99669647
1.5999105 -0.1696125 0.9966895
1.600166 -0.1696095 0.99659848
1.6004205 -0.16960299 0.99665654
1.6006745 -0.16959649 0.99672151
1.600929 -0.1695925 0.99668598
1.6011209 -0.169589 0.99663901
1.5994055 -0.1693815 0.9965415
1.599597 -0.169378 0.996548
1.5999141 -0.16936949 0.99667454
1.600232 -0.16936199 0.99669701
1.600487 -0.169357 0.99669802
1.600678 -0.16935399 0.99666703
1.600997 -0.169349 0.99659401
1.601124 -0.169346 0.99659997
1.6013165 -0.16934401 0.99650598
