# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1349
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1349
DATA ascii
-0.189199 0.02428 0.048799999
-0.18933 0.023987001 0.048914999
-0.189298 0.023726 0.048788998
-0.189263 0.023465 0.048659001
-0.18922199 0.023205001 0.048519999
-0.18934 0.022915 0.048616
-0.189201 0.023670999 0.049104001
-0.189355 0.023374001 0.049253002
-0.18932401 0.023112999 0.049128
-0.189459 0.022821 0.049249999
-0.189426 0.022559 0.049121998
-0.189575 0.022265 0.049263
-0.189366 0.022196 0.049617
-0.189518 0.021901 0.049761999
-0.188021 0.039136998 0.064622
-0.187925 0.039251 0.06532
-0.188043 0.038970999 0.065417998
-0.188015 0.038732 0.065305002
-0.188159 0.038445 0.065440997
-0.188127 0.038206 0.065321997
-0.188094 0.037967 0.065201998
-0.18793599 0.039124001 0.065908
-0.188045 0.038848002 0.065991998
-0.18801799 0.038608 0.065880999
-0.188163 0.038322002 0.066018999
-0.188132 0.038082998 0.065902002
-0.18810099 0.037843999 0.065784998
-0.18807 0.037604999 0.065668002
-0.188197 0.037324 0.065778002
-0.18817399 0.037082002 0.065673001
-0.188311 0.036798 0.065798998
-0.18813799 0.039127 0.067116998
-0.18810099 0.038892001 0.066991001
-0.18806 0.038656998 0.066859998
-0.188021 0.038422 0.066730998
-0.187984 0.038185999 0.066605002
-0.18795 0.037948001 0.066485003
-0.188071 0.037668999 0.066587001
-0.188214 0.037384 0.066721998
-0.188182 0.037145998 0.066602997
-0.18815 0.036906999 0.066483997
-0.18811899 0.036669001 0.066367
-0.188237 0.036389999 0.066467002
-0.18821099 0.036150001 0.066356003
-0.18835001 0.035866 0.066483997
-0.188315 0.035627998 0.066362001
-0.188278 0.035390001 0.066234998
-0.18802699 0.039062999 0.067382999
-0.188005 0.038823999 0.067280002
-0.188145 0.038539 0.06741
-0.18811201 0.038302999 0.067290999
-0.188078 0.038066 0.067170002
-0.18819501 0.037788998 0.067266002
-0.188337 0.037503999 0.067400001
-0.18830401 0.037266999 0.067280002
-0.18826699 0.037030999 0.067155004
-0.18823101 0.036793999 0.067031004
-0.188198 0.036556002 0.066909999
-0.18834101 0.036272001 0.067046002
-0.18846001 0.035994001 0.067146003
-0.188434 0.035753999 0.067036003
-0.18840501 0.035514001 0.066922002
-0.188375 0.035275001 0.066806003
-0.18866301 0.034954 0.067151003
-0.188632 0.034715001 0.067033
-0.1886 0.034476001 0.066914
-0.188565 0.034237001 0.066790998
-0.18807399 0.039108999 0.068368003
-0.188039 0.038874 0.068245001
-0.188007 0.038637999 0.068127997
-0.187976 0.038401999 0.068011001
-0.18826699 0.038077001 0.068360001
-0.188237 0.037840001 0.068245001
-0.188209 0.037602998 0.068132997
-0.188182 0.037365001 0.068021998
-0.188153 0.037126999 0.067909002
-0.188439 0.036805 0.068250999
-0.18840399 0.036568999 0.068127997
-0.18836799 0.036332998 0.068003997
-0.188334 0.036095999 0.067883
-0.188301 0.035859 0.067763001
-0.188271 0.03562 0.067647003
-0.188391 0.035342999 0.067749001
-0.18853401 0.035059001 0.067883998
-0.188503 0.034821 0.067767002
-0.188473 0.034582 0.067652002
-0.188445 0.034341998 0.067538999
-0.188733 0.034022 0.067884997
-0.188703 0.033783 0.067768
-0.18866999 0.033544999 0.067648001
-0.18863299 0.033307001 0.067521997
-0.188596 0.033069 0.067396
-0.18817 0.039225001 0.069050997
-0.188134 0.038991001 0.068928003
-0.188096 0.038757998 0.068801999
-0.188062 0.038523 0.068681002
-0.188177 0.038247 0.068774998
-0.18831301 0.037965 0.068901002
-0.18828 0.037728999 0.068781003
-0.18825001 0.037493002 0.068664998
-0.188218 0.037257001 0.068549
-0.188188 0.037020002 0.068433002
-0.188476 0.036697 0.068778001
-0.188448 0.036460001 0.068666004
-0.18842199 0.036222 0.068556003
-0.188393 0.035983998 0.068442002
-0.18853199 0.035702001 0.068572
-0.18849599 0.035466 0.068447001
-0.18860801 0.035191 0.068539001
-0.18857101 0.034954999 0.068412997
-0.188537 0.034717999 0.068291999
-0.18850701 0.034480002 0.068176001
-0.188481 0.03424 0.068066001
-0.188621 0.033957999 0.068198003
-0.18873601 0.033682 0.068292998
-0.18871 0.033443 0.068181999
-0.18868101 0.033202998 0.068067998
-0.188649 0.032963999 0.067948997
-0.18861599 0.032726001 0.067828
-0.188738 0.032449 0.067933001
-0.188876 0.032168001 0.068061002
-0.188842 0.031929001 0.067939997
-0.188409 0.03906 0.069835
-0.188383 0.038823999 0.069725998
-0.188355 0.038589001 0.069613002
-0.188489 0.038307998 0.069735996
-0.188457 0.038073 0.069618002
-0.188427 0.037838001 0.069504
-0.18839601 0.037602 0.069388002
-0.188509 0.037326999 0.069479004
-0.18864299 0.037046999 0.069600999
-0.18861 0.036812 0.069481999
-0.18857899 0.036575999 0.069366001
-0.18855099 0.036339 0.069252998
-0.188522 0.036102001 0.069140002
-0.188806 0.035781998 0.069480002
-0.18877999 0.035544001 0.069370002
-0.188752 0.035305999 0.069259003
-0.188722 0.035069 0.069142997
-0.18869101 0.034832001 0.069026001
-0.188658 0.034595001 0.068907
-0.18893699 0.034278002 0.069239996
-0.18890899 0.03404 0.069126002
-0.188878 0.033801999 0.069011003
-0.188849 0.033564001 0.068896003
-0.18881699 0.033326 0.068777002
-0.188786 0.033087999 0.068659998
-0.189071 0.032770999 0.069002002
-0.189046 0.032531001 0.068893999
-0.18902101 0.032290999 0.068784997
-0.18899 0.032051999 0.068668999
-0.188958 0.031812999 0.068549
-0.189238 0.031498 0.068884
-0.189206 0.031259 0.068765998
-0.189172 0.031021001 0.068644002
-0.189138 0.030781999 0.068522997
-0.188142 0.039147999 0.070525996
-0.188116 0.038913 0.070417002
-0.18824799 0.038633 0.070537001
-0.18821301 0.038400002 0.070414998
-0.188179 0.038167 0.070294
-0.18814699 0.037932001 0.070176996
-0.188118 0.037696999 0.070064001
-0.188256 0.037416 0.070193
-0.18837599 0.037140001 0.070294999
-0.18834899 0.036904 0.070184
-0.18832199 0.036667001 0.070073001
-0.188291 0.036432002 0.069957003
-0.188403 0.036157999 0.070047997
-0.18837 0.035923 0.069927998
-0.18849801 0.035645001 0.070042998
-0.188462 0.035409998 0.069918998
-0.18843199 0.035174001 0.069803998
-0.188403 0.034937002 0.069689997
-0.188375 0.034699 0.069577999
-0.18849 0.034423999 0.069674
-0.188636 0.034141999 0.069812998
-0.18861 0.033904001 0.069704004
-0.188582 0.033666 0.069591999
-0.18855099 0.033429001 0.069475003
-0.188519 0.033190999 0.069356002
-0.188795 0.032876998 0.069684997
-0.18876299 0.032639001 0.069567002
-0.18873399 0.032400999 0.069453001
-0.188706 0.032161999 0.069340996
-0.188676 0.031923 0.069224
-0.188813 0.031644002 0.069352001
-0.18892901 0.031369999 0.069448002
-0.188905 0.031129001 0.069340996
-0.188878 0.030889001 0.069229998
-0.188849 0.030649999 0.069114998
-0.18898501 0.030370999 0.069242001
-0.188949 0.030133 0.069117002
-0.189064 0.029859001 0.069211997
-0.189037 0.029618001 0.0691
-0.188021 0.039011002 0.071121998
-0.188155 0.038731001 0.071244001
-0.18812101 0.038499001 0.071124002
-0.188086 0.038265999 0.071002997
-0.188052 0.038033001 0.070882998
-0.188187 0.037753001 0.071006998
-0.188298 0.03748 0.071097001
-0.18826801 0.037246 0.070981003
-0.18823799 0.037011001 0.070867002
-0.188209 0.036775999 0.070753999
-0.18818 0.036541 0.070641004
-0.188307 0.036263999 0.070753001
-0.18844999 0.035982002 0.070889004
-0.188419 0.035746999 0.070773996
-0.18838599 0.035512 0.070653997
-0.18835001 0.035278 0.070531003
-0.188457 0.035006002 0.070614003
-0.18843 0.034768999 0.070502996
-0.18856899 0.034488998 0.070633002
-0.188536 0.034254 0.070514999
-0.18850499 0.034017999 0.070396997
-0.188473 0.033780999 0.070280001
-0.18859801 0.033505 0.070389003
-0.18874 0.033224002 0.070524998
-0.188713 0.032986999 0.070413001
-0.188683 0.032749001 0.070299
-0.188651 0.032513 0.070179
-0.18861599 0.032276001 0.070056997
-0.188728 0.032003 0.070147999
-0.18886299 0.031725001 0.070271999
-0.18883 0.031488001 0.070152998
-0.18880101 0.031249 0.070037998
-0.18877099 0.031011 0.069922999
-0.188742 0.030772001 0.069810003
-0.189033 0.030456999 0.070160002
-0.18901201 0.030215999 0.070059001
-0.188986 0.029975999 0.069948003
-0.188954 0.029736999 0.06983
-0.188921 0.029499 0.069710001
-0.18919399 0.029189 0.070035003
-0.189163 0.02895 0.069917999
-0.189132 0.02871 0.069801003
-0.18910401 0.02847 0.069687001
-0.18907499 0.02823 0.069572002
-0.188287 0.039078001 0.072020002
-0.188254 0.038846001 0.071901999
-0.188224 0.038612999 0.071787
-0.188196 0.038380001 0.071676001
-0.18847901 0.038059 0.072015002
-0.188445 0.037827 0.071895003
-0.188412 0.037594002 0.071777001
-0.188383 0.037360001 0.071663
-0.188354 0.037126001 0.071549997
-0.188324 0.036892001 0.071437001
-0.18846001 0.036612 0.071562998
-0.188573 0.036339998 0.071653999
-0.18854301 0.036104999 0.071539998
-0.18851399 0.035870001 0.071428001
-0.18849 0.035634 0.071321003
-0.18861599 0.035356998 0.071433
-0.18875299 0.035078 0.071560003
-0.188722 0.034844 0.071443997
-0.188692 0.034607999 0.071328998
-0.188659 0.034373 0.071211003
-0.188766 0.034102 0.071294002
-0.188732 0.033867002 0.071174003
-0.18870001 0.033631999 0.071055003
-0.18883599 0.033353999 0.071181998
-0.188807 0.033117 0.071067996
-0.18878099 0.032878999 0.070959002
-0.18875501 0.032641999 0.070849001
-0.18887199 0.032368001 0.070947997
-0.18901201 0.032088999 0.071079001
-0.18898501 0.031851001 0.070969999
-0.188958 0.031613 0.070858002
-0.188926 0.031376999 0.070739999
-0.189036 0.031105001 0.070828997
-0.189006 0.030866999 0.070712999
-0.189143 0.030588999 0.070840001
-0.18911199 0.030351 0.070724003
-0.189081 0.030113 0.070606999
-0.18904901 0.029875999 0.070487998
-0.189017 0.029637 0.070370004
-0.189307 0.029324001 0.070720002
-0.18928 0.029084001 0.070609003
-0.18925101 0.028844999 0.070495002
-0.189219 0.028607 0.070377
-0.189328 0.028336 0.070463002
-0.189301 0.028094999 0.070352003
-0.189275 0.027855 0.070242003
-0.189411 0.027578 0.070367001
-0.189381 0.027338 0.070252001
-0.18934999 0.027098 0.070134997
-0.18946099 0.026827 0.070224002
-0.188164 0.038941 0.072591998
-0.188131 0.038709 0.072472997
-0.188244 0.038437001 0.072566003
-0.18838 0.038158 0.072691999
-0.188347 0.037926 0.072572999
-0.18831401 0.037694 0.072456002
-0.18828399 0.037461001 0.072342001
-0.18826 0.037225999 0.072235003
-0.18854301 0.036906999 0.072575003
-0.18851601 0.036672998 0.072463997
-0.18848699 0.036439002 0.072352
-0.188456 0.036206 0.072236001
-0.18842199 0.035973001 0.072116002
-0.18838599 0.035739999 0.071993001
-0.18835101 0.035507001 0.071870998
-0.18846899 0.035234001 0.071970001
-0.18861 0.034954 0.072104998
-0.188582 0.034717999 0.071993001
-0.188554 0.034483001 0.071881004
-0.188668 0.034210999 0.071975999
-0.188646 0.033973001 0.071873002
-0.188784 0.033695001 0.072002001
-0.188757 0.033459 0.071891002
-0.188724 0.033224002 0.071772002
-0.188688 0.032990001 0.071648002
-0.188797 0.032719001 0.071736
-0.18877199 0.032481998 0.071626998
-0.188908 0.032203998 0.071754001
-0.188878 0.031968001 0.071639001
-0.188849 0.031730998 0.071525
-0.188823 0.031493001 0.071415998
-0.189106 0.03118 0.071755998
-0.189078 0.030942 0.071644001
-0.18904801 0.030704999 0.071529001
-0.18901999 0.030468 0.071415998
-0.18899 0.030230001 0.071300998
-0.18910401 0.029958 0.071396001
-0.189239 0.029681999 0.071520999
-0.189206 0.029445 0.071400002
-0.189172 0.029208001 0.071278997
-0.18914001 0.028969999 0.071160004
-0.18911 0.028732 0.071044996
-0.189083 0.028492 0.070933998
-0.189207 0.028217999 0.071043
-0.189349 0.027939999 0.071179003
-0.18932199 0.0277 0.071066998
-0.189291 0.027462 0.070949003
-0.189255 0.027224001 0.070825003
-0.18922 0.026985001 0.070701003
-0.18933199 0.026714001 0.070793003
-0.18930499 0.026474001 0.070681997
-0.189441 0.026196999 0.070808001
-0.18941399 0.025957 0.070695996
-0.189531 0.025684001 0.070795998
-0.188638 0.038959999 0.073732004
-0.188604 0.038729999 0.073611997
-0.18856899 0.0385 0.073491998
-0.188535 0.038268998 0.073371999
-0.188504 0.038038 0.073257998
-0.188475 0.037804998 0.073145002
-0.188611 0.037526999 0.073270999
-0.18872 0.037255999 0.073357001
-0.188687 0.037025001 0.073239997
-0.18865401 0.036793001 0.073122002
-0.18862499 0.036559999 0.073008999
-0.188601 0.036325 0.072903998
-0.188741 0.036045998 0.073036
-0.18885601 0.035774 0.073131002
-0.18882801 0.03554 0.073019996
-0.188798 0.035307001 0.072906002
-0.188767 0.035073001 0.072789997
-0.188738 0.034839001 0.072677001
-0.189016 0.034524001 0.073008999
-0.188986 0.034290001 0.072896004
-0.18895701 0.034056 0.072783001
-0.18892799 0.033821002 0.072669998
-0.188899 0.033585999 0.072557002
-0.189016 0.033314001 0.072655
-0.188989 0.033078 0.072544999
-0.189123 0.032800999 0.072668001
-0.189092 0.032566 0.072553001
-0.189062 0.032331001 0.072438002
-0.18903001 0.032095999 0.072319001
-0.189 0.031860001 0.072205
-0.189279 0.031548001 0.07254
-0.189252 0.031311002 0.072428003
-0.18922199 0.031075001 0.072314002
-0.189193 0.030839 0.0722
-0.189164 0.030602001 0.072085999
-0.189135 0.030365 0.071974002
-0.189422 0.030052001 0.072319999
-0.18939599 0.029815 0.072209001
-0.189366 0.029577 0.072094999
-0.18933 0.029341999 0.071971998
-0.189294 0.029106 0.071846999
-0.189263 0.028867999 0.071731001
-0.18939701 0.028592 0.071854003
-0.189511 0.028321 0.071947999
-0.189484 0.028083 0.071837001
-0.189459 0.027843 0.071728997
-0.189579 0.027571 0.071833
-0.18972 0.027294001 0.071966
-0.18969201 0.027055001 0.071852997
-0.18966199 0.026815999 0.071739003
-0.189629 0.026578 0.071618997
-0.189594 0.02634 0.071494997
-0.18956 0.026102001 0.071373001
-0.18967199 0.025831001 0.071465001
-0.189812 0.025555 0.071598001
-0.18978301 0.025315 0.071483001
-0.189753 0.025075 0.071367003
-0.189725 0.024835 0.071254
-0.18986499 0.024559001 0.071387
-0.18823101 0.039105002 0.074162997
-0.188371 0.038826 0.074294999
-0.188344 0.038594 0.074185997
-0.188316 0.038362999 0.074074998
-0.18828399 0.038132001 0.073958002
-0.188251 0.037902001 0.073840998
-0.188218 0.037671 0.073723003
-0.188334 0.037399001 0.073820002
-0.18847001 0.037121002 0.073945999
-0.188438 0.036889002 0.073830001
-0.18840501 0.036658 0.073711999
-0.188375 0.036426 0.073597997
-0.188347 0.036192998 0.073486999
-0.18848 0.035916001 0.073608004
-0.188592 0.035645001 0.073700003
-0.188567 0.035411 0.073592998
-0.188541 0.035177 0.073486
-0.18851499 0.034942999 0.073376998
-0.188798 0.034627002 0.073716998
-0.188769 0.034393001 0.073602997
-0.18873601 0.034159999 0.073486
-0.188702 0.033927999 0.073366001
-0.18866999 0.033693999 0.073247999
-0.188637 0.033461001 0.073129997
-0.18860701 0.033225998 0.073013999
-0.188886 0.032912999 0.073348999
-0.188859 0.032678001 0.073239997
-0.188834 0.032442 0.073132001
-0.18880901 0.032205999 0.073025003
-0.188926 0.031934001 0.073123999
-0.189063 0.031656999 0.073251002
-0.189031 0.031422999 0.073132999
-0.188998 0.031188 0.073014997
-0.18896399 0.030952999 0.072894
-0.188932 0.030718001 0.072777003
-0.18890201 0.030482 0.072660998
-0.18903901 0.030206 0.072789997
-0.189155 0.029934 0.072888002
-0.189127 0.029697999 0.072774999
-0.189098 0.029461 0.072660998
-0.189068 0.029224001 0.072547004
-0.189042 0.028986 0.072438002
-0.189328 0.028674999 0.072783001
-0.189301 0.028438 0.072672002
-0.18926799 0.028201001 0.072552003
-0.18923301 0.027965 0.072429001
-0.189199 0.027728001 0.072307996
-0.189169 0.027489999 0.072192997
-0.18945201 0.027181 0.072535001
-0.189427 0.026942 0.072425999
-0.189399 0.026704 0.072314002
-0.189371 0.026465001 0.072200999
-0.18934301 0.026226001 0.072089002
-0.189624 0.025919 0.072426997
-0.189596 0.02568 0.072314002
-0.189567 0.025441 0.0722
-0.18953501 0.025202001 0.072081
-0.1895 0.024963999 0.071957998
-0.189465 0.024724999 0.071834996
-0.18943501 0.024484999 0.071718998
-0.189715 0.024180001 0.072057001
-0.189689 0.023940001 0.071947001
-0.18966 0.023699 0.071832001
-0.188153 0.039421 0.074974
-0.18812101 0.039191999 0.074859001
-0.18824799 0.038917001 0.074973002
-0.188214 0.038688 0.074854001
-0.188182 0.038458001 0.074736997
-0.18815 0.038228001 0.074620999
-0.188427 0.037911002 0.074951001
-0.1884 0.03768 0.074841
-0.188373 0.037448 0.074731998
-0.188344 0.037216999 0.074620999
-0.18831199 0.036986001 0.074505001
-0.188282 0.036754999 0.074390002
-0.188251 0.036524002 0.074276
-0.188526 0.036208998 0.074602999
-0.18849599 0.035976999 0.074490003
-0.188464 0.035746001 0.074372999
-0.18843099 0.035514001 0.074254997
-0.188398 0.035282999 0.074137002
-0.18836901 0.035050001 0.074023999
-0.18865199 0.034734 0.074363999
-0.188629 0.034499999 0.074259996
-0.18860599 0.034265 0.074156001
-0.188581 0.034031 0.074049003
-0.188692 0.033760998 0.074139997
-0.18882599 0.033484999 0.074263997
-0.188794 0.033252999 0.074146003
-0.18876299 0.033018999 0.074029997
-0.18873 0.032786001 0.073912002
-0.18869799 0.032552999 0.073794998
-0.18867099 0.032318 0.073684998
-0.188806 0.032042 0.073811002
-0.188921 0.031771 0.073907003
-0.188894 0.031536002 0.073797002
-0.188868 0.031300001 0.073688
-0.188842 0.031065 0.073578998
-0.189123 0.030753 0.073917001
-0.189097 0.030517001 0.073808998
-0.189068 0.030282 0.073694997
-0.189033 0.030048 0.073573001
-0.188996 0.029813999 0.073448002
-0.18896601 0.029578 0.073333003
-0.18893801 0.029341999 0.073220998
-0.189217 0.029033 0.073555999
-0.189188 0.028796 0.073443003
-0.189161 0.028558999 0.073333003
-0.189138 0.028321 0.073227003
-0.189275 0.028046001 0.073354997
-0.18938699 0.027776999 0.073448002
-0.189357 0.02754 0.073333003
-0.189328 0.027302001 0.073219001
-0.189298 0.027065 0.073104002
-0.18926901 0.026828 0.072989002
-0.189237 0.026590001 0.072871998
-0.18920501 0.026353 0.072752997
-0.189482 0.026047001 0.073086001
-0.189457 0.025807999 0.072979003
-0.18943299 0.025567999 0.072871998
-0.18940701 0.025328999 0.072760999
-0.18952601 0.025057999 0.072865002
-0.189661 0.024785001 0.07299
-0.189632 0.024545999 0.072875001
-0.18959799 0.024307 0.072755001
-0.189564 0.024069 0.072632
-0.18953399 0.02383 0.072516002
-0.18967 0.023556 0.072645001
-0.18978301 0.023287 0.072737999
-0.18975601 0.023047 0.072624996
-0.18973 0.022806 0.072516002
-0.189707 0.022564 0.072410002
-0.189844 0.022290999 0.072538003
-0.18996 0.022020999 0.072636999
-0.18819401 0.039310999 0.075478002
-0.188326 0.039035 0.075599
-0.18829399 0.038807001 0.075483002
-0.188262 0.038578 0.075367004
-0.188232 0.038348 0.075254001
