# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 44943
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 44943
DATA ascii
-0.064001 -0.134247 -0.177785
-0.063999 -0.134173 -0.177792
-0.063997 -0.134097 -0.177784
-0.063995 -0.134022 -0.177772
-0.063993 -0.133948 -0.177773
-0.063990 -0.133876 -0.177783
-0.063988 -0.133800 -0.177779
-0.063987 -0.133722 -0.177755
-0.063985 -0.133646 -0.177746
-0.063982 -0.133572 -0.177754
-0.063980 -0.133498 -0.177754
-0.063977 -0.133424 -0.177764
-0.063974 -0.133352 -0.177781
-0.063971 -0.133281 -0.177797
-0.063968 -0.133207 -0.177815
-0.063965 -0.133135 -0.177828
-0.063962 -0.133062 -0.177842
-0.063960 -0.132988 -0.177846
-0.063957 -0.132914 -0.177850
-0.063955 -0.132840 -0.177859
-0.063952 -0.132768 -0.177873
-0.063949 -0.132694 -0.177871
-0.063947 -0.132618 -0.177863
-0.063945 -0.132542 -0.177860
-0.063943 -0.132468 -0.177860
-0.063941 -0.132394 -0.177860
-0.063938 -0.132320 -0.177869
-0.063936 -0.132244 -0.177863
-0.063936 -0.132165 -0.177817
-0.063934 -0.132088 -0.177799
-0.063932 -0.132013 -0.177803
-0.063929 -0.131939 -0.177812
-0.063926 -0.131867 -0.177824
-0.063924 -0.131793 -0.177822
-0.063921 -0.131717 -0.177828
-0.063918 -0.131646 -0.177857
-0.063915 -0.131574 -0.177877
-0.063912 -0.131500 -0.177881
-0.063910 -0.131426 -0.177884
-0.063907 -0.131353 -0.177902
-0.063903 -0.131283 -0.177926
-0.063901 -0.131209 -0.177931
-0.063898 -0.131135 -0.177935
-0.063896 -0.131061 -0.177941
-0.063893 -0.130986 -0.177955
-0.063890 -0.130914 -0.177962
-0.063889 -0.130837 -0.177950
-0.063886 -0.130763 -0.177948
-0.063884 -0.130688 -0.177956
-0.063879 -0.130539 -0.177949
-0.063878 -0.130463 -0.177937
-0.063876 -0.130387 -0.177929
-0.063874 -0.130313 -0.177922
-0.063872 -0.130237 -0.177920
-0.063869 -0.130163 -0.177926
-0.063865 -0.130092 -0.177963
-0.063862 -0.130020 -0.177979
-0.063860 -0.129946 -0.177979
-0.063857 -0.129872 -0.177983
-0.063854 -0.129798 -0.177998
-0.063851 -0.129725 -0.178016
-0.063849 -0.129651 -0.178016
-0.063847 -0.129575 -0.178008
-0.063845 -0.129500 -0.177999
-0.063842 -0.129426 -0.178009
-0.063840 -0.129351 -0.178017
-0.063837 -0.129279 -0.178023
-0.063834 -0.129205 -0.178030
-0.063832 -0.129131 -0.178042
-0.063828 -0.129060 -0.178074
-0.063552 -0.134275 -0.177754
-0.063550 -0.134199 -0.177744
-0.063548 -0.134125 -0.177737
-0.063546 -0.134051 -0.177743
-0.063544 -0.133975 -0.177743
-0.063542 -0.133899 -0.177733
-0.063540 -0.133822 -0.177712
-0.063538 -0.133746 -0.177702
-0.063536 -0.133672 -0.177698
-0.063534 -0.133598 -0.177702
-0.063531 -0.133524 -0.177711
-0.063528 -0.133452 -0.177723
-0.063525 -0.133379 -0.177741
-0.063522 -0.133309 -0.177762
-0.063519 -0.133234 -0.177778
-0.063516 -0.133164 -0.177796
-0.063513 -0.133092 -0.177816
-0.063510 -0.133019 -0.177831
-0.063507 -0.132945 -0.177837
-0.063505 -0.132869 -0.177831
-0.063503 -0.132794 -0.177822
-0.063502 -0.132716 -0.177808
-0.063500 -0.132642 -0.177800
-0.063497 -0.132568 -0.177802
-0.063495 -0.132492 -0.177799
-0.063493 -0.132418 -0.177797
-0.063491 -0.132342 -0.177795
-0.063489 -0.132267 -0.177779
-0.063489 -0.132188 -0.177739
-0.063487 -0.132110 -0.177718
-0.063485 -0.132036 -0.177724
-0.063482 -0.131962 -0.177736
-0.063479 -0.131888 -0.177740
-0.063477 -0.131815 -0.177753
-0.063473 -0.131745 -0.177781
-0.063470 -0.131670 -0.177793
-0.063468 -0.131596 -0.177796
-0.063465 -0.131526 -0.177818
-0.063462 -0.131454 -0.177836
-0.063459 -0.131377 -0.177841
-0.063457 -0.131304 -0.177839
-0.063455 -0.131228 -0.177833
-0.063453 -0.131154 -0.177829
-0.063451 -0.131078 -0.177820
-0.063449 -0.131002 -0.177808
-0.063447 -0.130926 -0.177798
-0.063444 -0.130852 -0.177806
-0.063442 -0.130780 -0.177821
-0.063439 -0.130704 -0.177817
-0.063438 -0.130628 -0.177807
-0.063436 -0.130553 -0.177791
-0.063434 -0.130477 -0.177784
-0.063432 -0.130403 -0.177782
-0.063430 -0.130327 -0.177780
-0.063427 -0.130253 -0.177784
-0.063424 -0.130181 -0.177801
-0.063421 -0.130108 -0.177815
-0.063418 -0.130036 -0.177833
-0.063415 -0.129962 -0.177844
-0.063413 -0.129886 -0.177838
-0.063411 -0.129812 -0.177836
-0.063408 -0.129738 -0.177844
-0.063406 -0.129666 -0.177853
-0.063403 -0.129592 -0.177855
-0.063401 -0.129516 -0.177853
-0.063399 -0.129442 -0.177851
-0.063396 -0.129368 -0.177858
-0.063394 -0.129292 -0.177856
-0.063392 -0.129218 -0.177848
-0.063390 -0.129142 -0.177850
-0.063388 -0.129068 -0.177849
