# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 451
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 451
DATA ascii
1.5681422 0.047662716 0.90853697
1.5727966 0.047007482 0.9084509
1.6298234 0.048160501 0.90955651
1.6349775 0.047074195 0.90933537
1.6412201 0.047674332 0.90941966
1.569217 0.050057601 0.90777361
1.5708025 0.050099801 0.90846235
1.5682536 0.048228003 0.91046
1.571124 0.047304999 0.91020674
1.635865 0.047978915 0.91064322
1.6409385 0.047398739 0.9104479
1.5372523 -0.17207846 0.99514657
1.5449963 -0.17191744 0.99532074
1.5549761 -0.17171867 0.99560231
1.56496 -0.17152378 0.99598885
1.574973 -0.17132422 0.99610204
1.5849969 -0.17112388 0.99622768
1.5949861 -0.17091148 0.99657339
1.6049857 -0.17070983 0.99688768
1.6149733 -0.17050917 0.99707496
1.6250155 -0.17030995 0.99732471
1.6350477 -0.17010804 0.99764282
1.5372434 -0.16496506 0.99514627
1.5449841 -0.16504642 0.99531525
1.5550348 -0.16491468 0.995574
1.5646534 -0.16533534 0.99581891
1.5752765 -0.16669926 0.99607146
1.5849824 -0.16506942 0.99634457
1.5950042 -0.16504474 0.99656194
1.6049849 -0.16507305 0.99683517
1.6145557 -0.16545127 0.99708301
1.6253587 -0.16693932 0.99735677
1.635059 -0.16513509 0.99760997
1.6450062 -0.16933116 0.99789906
1.6550443 -0.16914067 0.99806792
1.6623403 -0.16925335 0.99816626
1.5371865 -0.15503159 0.99520898
1.5449872 -0.15519942 0.9953869
1.5550063 -0.15502198 0.99564064
1.5626125 -0.1549706 0.99581522
1.5797594 -0.150194 0.99607456
1.5855199 -0.15502374 0.99639577
1.5950031 -0.15507931 0.99661463
1.6050442 -0.15512529 0.99686867
1.6127057 -0.15489729 0.99709129
1.6299245 -0.150454 0.99774396
1.6357195 -0.15498036 0.99767929
1.6449848 -0.15515655 0.99787813
1.6548151 -0.15509513 0.99811542
1.6624197 -0.1546513 0.99828488
1.5371238 -0.14492664 0.9952572
1.5445478 -0.14642218 0.9954384
1.5549031 -0.14694974 0.99570739
1.5647686 -0.14695492 0.99598861
1.575492 -0.14620931 0.99625659
1.5849786 -0.14715762 0.99643427
1.5949082 -0.14718248 0.99663162
1.6049598 -0.14728516 0.99693555
1.6148983 -0.14731668 0.99723905
1.6254843 -0.14664437 0.99754965
1.6349205 -0.14751025 0.99775547
1.6449883 -0.14771026 0.99796337
1.6550936 -0.14512566 0.99816489
1.6624554 -0.14548302 0.99832058
1.5370953 -0.13509671 0.99526381
1.5413089 -0.13524374 0.9953832
1.6558497 -0.13490881 0.99826723
1.662486 -0.13482225 0.99838018
1.5370892 -0.12491538 0.99536759
1.5411934 -0.12474234 0.99543518
1.6560055 -0.12494443 0.99834371
1.6623511 -0.12438147 0.99843162
1.5369527 -0.11510602 0.99543226
1.5411385 -0.11536361 0.99551272
1.655957 -0.11487626 0.99839729
1.662181 -0.11512971 0.99849474
1.5369451 -0.10477596 0.99546653
1.5413144 -0.10457261 0.99555719
1.656106 -0.10505362 0.99848574
1.6621959 -0.10504497 0.9986099
1.5369862 -0.094761379 0.99552763
1.5413059 -0.0948774 0.99562335
1.6561623 -0.09554565 0.99854779
1.6622367 -0.095953085 0.99862993
1.5370094 -0.085088976 0.99556893
1.5415279 -0.084958784 0.99566031
1.6561935 -0.084820814 0.99850178
1.6625099 -0.084642954 0.99862725
1.5370215 -0.075257108 0.99570394
1.5418024 -0.075059675 0.99583548
1.6568474 -0.074295051 0.99870682
1.6622622 -0.074714057 0.99887532
1.5370302 -0.065012604 0.99577129
1.5419035 -0.064929903 0.99589556
1.6567972 -0.06502679 0.99878061
1.6622357 -0.065113097 0.99887538
1.5370173 -0.054961637 0.99573714
1.5419793 -0.054853432 0.99583215
1.6569062 -0.054974537 0.99871707
1.6621933 -0.055177812 0.99884838
1.5370284 -0.045073517 0.99580234
1.5419984 -0.044956449 0.9959026
1.6571424 -0.045072813 0.99880141
1.6622334 -0.045203064 0.99888748
1.5370176 -0.034916591 0.99586153
1.5421681 -0.03483858 0.99598753
1.6571118 -0.034852289 0.99887103
1.6622577 -0.034697302 0.99895638
1.5370699 -0.024807416 0.99590945
1.5422335 -0.024776261 0.99601728
1.6573626 -0.0248833 0.99894154
1.6621605 -0.025098354 0.99901545
1.5370673 -0.015124297 0.99600023
1.5423981 -0.014973849 0.99609411
1.65738 -0.014830313 0.99902189
1.6622254 -0.014810565 0.9990927
1.5373141 -0.0049613873 0.99606913
1.5425097 -0.0049390947 0.99617183
1.6575264 -0.0050387913 0.99905592
1.6622026 -0.0050810585 0.99918485
1.5371354 0.0050659874 0.9961009
1.5426748 0.0050887302 0.99623704
1.6576538 0.0049868315 0.99913949
1.6621989 0.004862621 0.9992153
1.5371445 0.014866894 0.99618119
1.5429304 0.015211727 0.996315
1.5578426 0.019739516 0.9959296
