# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 72476
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 72476
DATA ascii
-0.179406 0.074391 0.033291999
-0.17929199 0.074215002 0.033066999
-0.17926601 0.074003004 0.032963999
-0.179388 0.073728003 0.033070002
-0.17936499 0.073514 0.032972001
-0.17947 0.073246002 0.033054002
-0.179442 0.073034003 0.032949001
-0.179259 0.072884999 0.032625999
-0.17938 0.072609998 0.032731
-0.179516 0.072330996 0.032855
-0.179637 0.072056003 0.032961
-0.179617 0.071840003 0.032866001
-0.179756 0.071558997 0.032995999
-0.179894 0.071278997 0.033124
-0.180012 0.071006 0.033225998
-0.17999101 0.07079 0.033128999
-0.18011799 0.070514999 0.033241998
-0.18025599 0.070234999 0.033372
-0.180371 0.069963999 0.033468001
-0.18034799 0.069748998 0.033369999
-0.18033201 0.069530003 0.033282001
-0.180599 0.069200002 0.033592001
-0.180737 0.068920001 0.033721998
-0.18086 0.068646997 0.033829
-0.180865 0.068420999 0.033769999
-0.181142 0.068088003 0.034095
-0.18128601 0.067806996 0.034232002
-0.18141299 0.067533001 0.034345999
-0.181555 0.067253999 0.034481999
-0.181683 0.066979997 0.034596
-0.181822 0.066702001 0.034727
-0.182098 0.066372 0.035050999
-0.18223099 0.066096999 0.035174001
-0.182227 0.065874003 0.035103001
-0.18220399 0.065658003 0.035004999
-0.18233299 0.065384001 0.035122
-0.182601 0.065058999 0.035434999
-0.182594 0.064837001 0.035358999
-0.182576 0.064620003 0.035268001
-0.182832 0.064299002 0.035565
-0.18282101 0.064079002 0.035484001
-0.18309499 0.063752003 0.035806999
-0.18309399 0.063529 0.035739001
-0.183359 0.063206002 0.036049999
-0.183498 0.062930003 0.036180999
-0.183496 0.062706999 0.036111999
-0.18376601 0.062383998 0.036430001
-0.183752 0.062165 0.036345001
-0.18386699 0.061898001 0.036442
-0.183865 0.061675001 0.036373001
-0.18414301 0.061349999 0.036702
-0.18414401 0.061126001 0.036637999
-0.184398 0.06081 0.036933001
-0.18438999 0.060589001 0.036857001
-0.184644 0.060274001 0.037152998
-0.18464699 0.060047999 0.037090998
-0.18492199 0.059726998 0.037416
-0.184921 0.059503 0.037349001
-0.18518101 0.059188001 0.037652999
-0.185164 0.058968998 0.037563
-0.185297 0.058699001 0.037687
-0.185436 0.058426 0.03782
-0.18556701 0.058157001 0.037941001
-0.185673 0.057895999 0.038026001
-0.18566599 0.057673998 0.037951
-0.185799 0.057404 0.038074002
-0.185909 0.057142001 0.038166001
-0.1859 0.056921002 0.038088001
-0.18616199 0.056607999 0.038394999
-0.18616199 0.056384001 0.03833
-0.186433 0.056067999 0.038651999
-0.186571 0.055798002 0.038782999
-0.186681 0.055537 0.038874
-0.186675 0.055314999 0.038800001
-0.186941 0.055002 0.039113998
-0.18706299 0.054738 0.039221998
-0.187038 0.054522 0.039122
-0.18703 0.054301001 0.039044
-0.187446 0.053939998 0.039574001
-0.187452 0.053714 0.039515998
-0.187571 0.053451002 0.039622001
-0.18755201 0.053233001 0.039530002
-0.187806 0.052926999 0.039827999
-0.18779799 0.052705999 0.039749999
-0.187921 0.052441999 0.039861001
-0.188196 0.052131001 0.040189002
-0.18833999 0.051860999 0.04033
-0.18861701 0.051550001 0.040662002
-0.18874501 0.051286001 0.04078
-0.188705 0.051075 0.040656
-0.188152 0.051024001 0.039797001
-0.188667 0.050639 0.040470999
-0.188795 0.050375 0.040589001
-0.189061 0.050069001 0.040906001
-0.189211 0.049798999 0.041055001
-0.189211 0.049575001 0.040989999
-0.189458 0.049276002 0.041278999
-0.18944401 0.049056001 0.041193001
-0.18944199 0.048831999 0.041125
-0.18945 0.048606001 0.041069999
-0.189961 0.048227999 0.04174
-0.189955 0.048007 0.041664999
-0.19020399 0.047708999 0.041958999
-0.190202 0.047485001 0.041891001
-0.190208 0.047260001 0.041834
-0.19007599 0.047074001 0.041577999
-0.190198 0.046815 0.041687001
-0.19070899 0.046441 0.042358998
-0.19096 0.046145 0.042654999
-0.190955 0.045922998 0.042582002
-0.19119699 0.045628998 0.042865999
-0.191448 0.045334 0.043163002
-0.191451 0.045109998 0.043101002
-0.191441 0.044888999 0.043021001
-0.19144 0.044666 0.042954002
-0.191563 0.044408001 0.043065999
-0.19181 0.044114999 0.043357
-0.19180501 0.043892 0.043285001
-0.191921 0.043636002 0.043387
-0.192029 0.043382999 0.043476999
-0.19202299 0.043161001 0.043404002
-0.192159 0.0429 0.043535002
-0.192292 0.042640001 0.04366
-0.192407 0.042385001 0.043761998
-0.192535 0.042126 0.043882001
-0.19267 0.041866999 0.044011001
-0.192811 0.041604999 0.044149999
-0.192678 0.041416999 0.043892998
-0.19265699 0.041198 0.043795001
-0.192652 0.040975001 0.043722998
-0.193287 0.040585 0.044578001
-0.193414 0.040328 0.044695999
-0.19353899 0.040072002 0.044813
-0.193644 0.039820999 0.044899002
-0.19363099 0.039600998 0.044815
-0.19339401 0.039438002 0.044406001
-0.193896 0.039085999 0.045068
-0.19415 0.038798001 0.045372002
-0.19426499 0.038546 0.045474
-0.194271 0.038321 0.045417
-0.19389901 0.03819 0.044810001
-0.194258 0.037877001 0.045267001
-0.194233 0.037659001 0.045164999
-0.194226 0.037436001 0.045090001
-0.194995 0.037025001 0.046142001
-0.195263 0.036736 0.046466999
-0.195749 0.036394998 0.047109
-0.195997 0.036113001 0.047405001
-0.19561701 0.035982002 0.046785999
-0.19535901 0.03582 0.046344999
-0.195206 0.035633001 0.046055999
-0.195315 0.035383001 0.046149999
-0.195545 0.035105001 0.04642
-0.195178 0.034967002 0.045818999
-0.195177 0.034743 0.045752998
-0.195298 0.034490999 0.045862
-0.195307 0.034263998 0.045809999
-0.195557 0.033983 0.046108998
-0.195684 0.03373 0.046229001
-0.19604599 0.033424001 0.046691999
-0.19678 0.033034999 0.047699001
-0.196887 0.032788001 0.047789
-0.197018 0.032536 0.047915999
-0.197155 0.032283001 0.048050001
-0.197412 0.032003 0.048361
-0.197291 0.031807002 0.048119001
-0.19727799 0.031587001 0.048035
-0.197271 0.031365 0.047959
-0.197393 0.031114999 0.048073001
-0.197503 0.030867999 0.048168
-0.19749101 0.030647 0.048083998
-0.197482 0.030425999 0.048006002
-0.19736201 0.030227 0.047764
-0.197465 0.029981 0.047850002
-0.197569 0.029735999 0.047936998
-0.197804 0.029464001 0.048215002
-0.198295 0.029139999 0.048870001
-0.19830599 0.028914999 0.048820999
-0.198302 0.028692 0.048749998
-0.198422 0.028444 0.048859999
-0.19830699 0.028243 0.048627
-0.19829801 0.028021 0.048546001
-0.19862901 0.027732 0.048967
-0.198764 0.027481999 0.049100999
-0.19901399 0.027210001 0.049403001
-0.19916099 0.026959 0.049554002
-0.199173 0.026733 0.049504999
-0.19930699 0.026484 0.049637001
-0.199288 0.026264001 0.049543001
-0.199385 0.026022 0.049621001
-0.19937301 0.025800999 0.049536999
-0.199515 0.025551001 0.049681
-0.199663 0.0253 0.049834002
-0.20004 0.025008 0.050322998
-0.20002501 0.024786999 0.050236002
-0.199994 0.024568999 0.050124999
-0.199965 0.024351001 0.050016001
-0.199844 0.024148 0.049773
-0.20083 0.023752 0.051162001
-0.20032801 0.023615001 0.050356001
-0.200308 0.023395 0.050260998
-0.200385 0.023158001 0.050308999
-0.200385 0.022933999 0.050243001
-0.20050199 0.02269 0.050349999
-0.200404 0.022482 0.050140001
-0.20052899 0.022236999 0.050259002
-0.200545 0.02201 0.050216999
-0.200918 0.021725001 0.050701998
-0.20126399 0.021445001 0.051148001
-0.20123699 0.021225 0.051043
-0.201096 0.021024 0.050769001
-0.201212 0.020780999 0.050873999
-0.201369 0.020532001 0.051041
-0.20235001 0.020156 0.052428
-0.202574 0.019898999 0.052694
-0.20187099 0.019783 0.051587999
-0.201847 0.019562 0.051486999
-0.20207 0.019305 0.051752001
-0.20291001 0.018956 0.052933
-0.203034 0.018715 0.053050999
-0.203492 0.018425001 0.053665001
-0.20338701 0.018217999 0.053443
-0.203053 0.018043 0.052882999
-0.202922 0.017837999 0.052623
-0.202897 0.017618001 0.052521002
-0.20359001 0.017298 0.053484999
-0.203712 0.017058 0.053599998
-0.203944 0.016803 0.053879999
-0.203945 0.016580001 0.053816002
-0.203476 0.016419999 0.053052999
-0.20346899 0.016197 0.052978002
-0.203811 0.015928 0.05342
-0.204059 0.015672 0.053723
-0.204183 0.015433 0.053842999
-0.204308 0.015194 0.053963002
-0.204427 0.014956 0.054076001
-0.204656 0.014704 0.054350998
-0.204757 0.014468 0.054437
-0.204953 0.014221 0.054662999
-0.20504101 0.013988 0.054730002
-0.204928 0.013778 0.054496001
-0.205072 0.013538 0.054644998
-0.205092 0.013312 0.054609999
-0.205879 0.012999 0.055718001
-0.205763 0.012789 0.055481002
-0.205413 0.012606 0.054892
-0.20551699 0.012371 0.054981999
-0.20607799 0.012086 0.055755999
-0.205534 0.011922 0.054877002
-0.206094 0.011639 0.055649001
-0.20619901 0.011405 0.055739999
-0.20630699 0.01117 0.055837002
-0.2062 0.010958 0.055610999
-0.206083 0.010747 0.055369999
-0.20608699 0.010523 0.055311002
-0.206755 0.010233 0.056247
-0.206773 0.010009 0.056208
-0.206784 0.0097850002 0.056159001
-0.206323 0.0096049998 0.055402
-0.20643701 0.0093710003 0.055507999
-0.206784 0.0091150003 0.055962998
-0.20702 0.00887 0.056251999
-0.207579 0.0085969996 0.057025
-0.207913 0.0083450004 0.057459999
-0.20801 0.0081139999 0.057541002
-0.207655 0.0079220003 0.056942001
-0.208322 0.0076430002 0.057879001
-0.20833901 0.0074189999 0.057840001
-0.20835599 0.0071950001 0.057799999
-0.20813701 0.0069900001 0.057404999
-0.20858 0.0067329998 0.058006998
-0.208709 0.0065000001 0.058136001
-0.209042 0.0062529999 0.058571
-0.208929 0.0060390001 0.058336001
-0.20901901 0.00581 0.058407001
-0.208354 0.0056349998 0.05734
-0.20836499 0.0054100002 0.057291001
-0.209039 0.0051409998 0.05824
-0.20984 0.0048639998 0.059381999
-0.209953 0.0046350001 0.059487998
-0.20963299 0.0044339998 0.058940001
-0.20971499 0.0042059999 0.058998998
-0.20959 0.0039909999 0.058745001
-0.20957901 0.0037690001 0.058662999
-0.209574 0.003546 0.058591001
-0.20958801 0.0033229999 0.058547001
-0.20981599 0.003087 0.058825001
-0.209931 0.0028570001 0.058933001
-0.210039 0.002629 0.059030998
-0.21026 0.0023940001 0.059299
-0.21059699 0.0021540001 0.059744999
-0.210738 0.001925 0.059891999
-0.21086 0.001697 0.060012002
-0.210747 0.001479 0.059776001
-0.210733 0.001257 0.059689
-0.210834 0.00103 0.059776999
-0.211055 0.00079800002 0.060045999
-0.211285 0.000566 0.060327999
-0.21139 0.00033899999 0.060423002
-0.21137799 0.000117 0.060339998
-0.21137699 -0.000105 0.060272999
-0.21147799 -0.000332 0.06036
-0.211596 -0.00055900001 0.060474001
-0.211689 -0.00078399997 0.060550001
-0.211888 -0.001236 0.060720999
-0.212328 -0.001471 0.061324999
-0.21244 -0.001696 0.06143
-0.21242 -0.0019180001 0.061333999
-0.212504 -0.002143 0.061395999
-0.21261001 -0.0023670001 0.061492
-0.212826 -0.002594 0.061755002
-0.212954 -0.002819 0.061884999
-0.21295001 -0.0030420001 0.061815001
-0.21285599 -0.0032619999 0.061606001
-0.21296699 -0.003487 0.061709002
-0.213081 -0.0037110001 0.061818
-0.213191 -0.0039349999 0.061921
-0.21330699 -0.0041589998 0.062031999
-0.21343499 -0.0043830001 0.062160999
-0.21355499 -0.0046060001 0.062279999
-0.213558 -0.0048290002 0.062217999
-0.21353801 -0.0050519998 0.062123001
-0.21372899 -0.0052749999 0.062348999
-0.213818 -0.005498 0.062419001
-0.21390299 -0.005721 0.062484
-0.213586 -0.0059440001 0.061934002
-0.213594 -0.0061670002 0.061882
-0.213917 -0.0063900002 0.062309999
-0.21393999 -0.0066129998 0.062279001
-0.214059 -0.0068350001 0.062396001
-0.214066 -0.0070580002 0.062341001
-0.21447299 -0.007278 0.062898003
-0.214563 -0.0074999998 0.062969998
-0.214647 -0.0077220001 0.063033998
-0.21445499 -0.007948 0.062674001
-0.21446 -0.0081709996 0.062615998
-0.21456 -0.0083929999 0.062703997
-0.215086 -0.0086070001 0.063444003
-0.215103 -0.0088299997 0.063405
-0.215223 -0.0090509998 0.063523002
-0.21532799 -0.0092709996 0.063620001
-0.21523499 -0.0094959997 0.063410997
-0.215344 -0.0097169997 0.063511997
-0.215452 -0.0099370005 0.063614003
-0.215453 -0.010161 0.063550003
-0.215655 -0.010378 0.063793004
-0.215764 -0.010598 0.063896
-0.215885 -0.010818 0.064015999
-0.2159 -0.01104 0.063974999
-0.21599799 -0.01126 0.064058997
-0.21620101 -0.011476 0.064305998
-0.216213 -0.011699 0.064258002
-0.216841 -0.011898 0.065159
-0.21694601 -0.012116 0.065256
-0.217044 -0.012334 0.065342002
-0.21704499 -0.012557 0.065278001
-0.217035 -0.01278 0.065196998
-0.217134 -0.012998 0.065284997
-0.21723901 -0.013216 0.06538
-0.217251 -0.013438 0.065333001
-0.21735699 -0.013656 0.065431997
-0.21747001 -0.013873 0.065540999
-0.217493 -0.014094 0.065511003
-0.218003 -0.014289 0.066232003
-0.218114 -0.014505 0.066339001
-0.218228 -0.014721 0.06645
-0.217935 -0.014961 0.065931998
-0.21833301 -0.01516 0.066482
-0.21804 -0.0154 0.065963998
-0.21823899 -0.015611 0.066206001
-0.218236 -0.015834 0.066134997
-0.21823201 -0.016057 0.066064
-0.218334 -0.016272999 0.066156998
-0.21844199 -0.016488999 0.066258997
-0.21874499 -0.016690999 0.066661999
-0.218436 -0.016936 0.066119
-0.21853399 -0.017152 0.066203997
-0.21883801 -0.017353 0.066610001
-0.219053 -0.017558999 0.066877
-0.21916801 -0.017773001 0.066991001
-0.219172 -0.017996 0.066931002
-0.219272 -0.018211 0.067020997
-0.21947999 -0.018417001 0.067277998
-0.219993 -0.018596999 0.068008997
-0.22010601 -0.018809 0.068118997
-0.220313 -0.019013001 0.068374999
-0.220318 -0.019235 0.068317004
-0.220314 -0.019458 0.068246998
-0.219817 -0.019726001 0.067409001
-0.22002301 -0.019929999 0.067665003
-0.22011399 -0.020144001 0.067740001
-0.220503 -0.020330001 0.068279997
-0.221109 -0.020493999 0.069155999
-0.22121599 -0.020705 0.069257997
-0.22121499 -0.020927001 0.069191001
-0.22131599 -0.021139 0.069283001
-0.221421 -0.02135 0.069381997
-0.22132801 -0.021582 0.069172002
-0.221233 -0.021815 0.068957999
-0.221233 -0.022036999 0.068893999
-0.22083201 -0.022304 0.068203002
-0.22094201 -0.022515001 0.06831
-0.221242 -0.022705 0.068712004
-0.22183099 -0.022861 0.069564998
-0.221846 -0.023081999 0.069523998
-0.22204 -0.023282001 0.069760002
-0.222041 -0.023504 0.069697
-0.22214501 -0.023714 0.069793999
-0.222249 -0.023924001 0.069891997
-0.22234701 -0.024134999 0.069978997
-0.222349 -0.024357 0.069917001
-0.22244 -0.024568001 0.069994003
-0.22254799 -0.024777001 0.070097998
-0.22274099 -0.024975 0.070335999
-0.222748 -0.025196999 0.070280999
-0.222847 -0.025405999 0.070370004
-0.222958 -0.025614001 0.070478998
-0.22306199 -0.025823001 0.070577003
-0.223161 -0.026032001 0.070666999
-0.22326501 -0.026240001 0.070763998
-0.223371 -0.026448 0.070864998
-0.223562 -0.026644001 0.071098998
-0.22357801 -0.026864 0.071059003
-0.223775 -0.027058 0.071304001
-0.223782 -0.027279999 0.071249999
-0.223876 -0.027488001 0.071331002
-0.223975 -0.027696 0.071420997
-0.22417 -0.02789 0.071662001
-0.224176 -0.028111 0.071607001
-0.224188 -0.028332001 0.071561001
-0.224383 -0.028524 0.071801998
-0.224492 -0.028729999 0.071907997
-0.22459801 -0.028936001 0.072010003
-0.22479101 -0.029127 0.072247997
-0.224804 -0.029348001 0.072203003
-0.224988 -0.02954 0.072426997
-0.224987 -0.029763 0.072361
-0.22499099 -0.029984999 0.072302997
-0.225183 -0.030175 0.072539002
-0.22528499 -0.030381 0.072636001
-0.22537901 -0.030587001 0.072719
-0.225394 -0.030807 0.072676003
-0.225586 -0.030996 0.072913997
-0.22558901 -0.031218 0.072853997
-0.225685 -0.031424001 0.072939999
-0.225878 -0.031612001 0.073178999
-0.225887 -0.031833 0.073128
-0.22599 -0.032037001 0.073225997
-0.22618601 -0.032224 0.073468998
-0.22628599 -0.032428 0.073563002
-0.2263 -0.032648001 0.073519997
-0.22639801 -0.032852001 0.073609002
-0.226587 -0.033039 0.073844001
-0.226686 -0.033243001 0.073936
-0.226689 -0.033464 0.073875003
-0.22687399 -0.033651002 0.074101999
-0.226886 -0.033870999 0.074056998
-0.226983 -0.034074999 0.074144997
-0.226988 -0.034295999 0.074088
-0.227181 -0.034480002 0.074327998
-0.227284 -0.034681998 0.074427001
-0.227385 -0.034883998 0.074520998
-0.22748201 -0.035087001 0.074610002
-0.227109 -0.035386 0.073954001
-0.22720701 -0.035588998 0.074043997
-0.227679 -0.035714 0.074726999
-0.22787 -0.035896 0.074965
-0.228057 -0.036079001 0.075196996
-0.228065 -0.0363 0.075144
-0.228067 -0.036522001 0.075081997
-0.228258 -0.036703002 0.075320996
-0.22863799 -0.036843002 0.075859003
-0.22865 -0.037062 0.075814001
-0.228568 -0.037301999 0.075618997
-0.22857 -0.037524 0.075557001
-0.228663 -0.037726 0.075639002
-0.228669 -0.037946999 0.075583003
-0.22885101 -0.038128 0.075809002
