# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 45872
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 45872
DATA ascii
-0.182282 0.05108 0.038233001
-0.182476 0.050753001 0.038433
-0.18262599 0.050439999 0.038570002
-0.182816 0.050113998 0.038764998
-0.182762 0.049862001 0.038608
-0.1891 0.0096479999 0.036508001
-0.18928599 0.0093430001 0.036702
-0.18927 0.0090610003 0.036594
-0.189604 0.0087400004 0.037009999
-0.18959101 0.0084570004 0.036908999
-0.189751 0.0081559997 0.037062999
-0.189922 0.0078539997 0.037237
-0.19007801 0.0075539998 0.037386999
-0.190254 0.0072519998 0.037567001
-0.1904 0.0069530001 0.037703
-0.190385 0.0066709998 0.037595998
-0.19037201 0.006389 0.037494
-0.190715 0.0060709999 0.037925001
-0.19583701 -0.004226 0.042725999
-0.19580901 -0.0045079999 0.042601001
-0.19613799 -0.004807 0.043016002
-0.196132 -0.0050889999 0.042924002
-0.196282 -0.0053790002 0.043067999
-0.196445 -0.0056690001 0.043232001
-0.196612 -0.005959 0.043402001
-0.196788 -0.0062489999 0.043586001
-0.196943 -0.006538 0.043738998
-0.197079 -0.0068259998 0.043862
-0.197074 -0.0071080001 0.043770999
-0.19740599 -0.0074029998 0.044190999
-0.1974 -0.0076859999 0.044098999
-0.19771899 -0.007979 0.044500999
-0.197713 -0.0082609998 0.044408999
-0.197872 -0.0085490001 0.044567
-0.19802999 -0.0088360002 0.044723999
-0.198175 -0.0091230003 0.044861998
-0.198347 -0.0094100004 0.04504
-0.198678 -0.0097000003 0.045460001
-0.198662 -0.0099820001 0.045352999
-0.19864801 -0.010264 0.045249
-0.198975 -0.010553 0.045662999
-0.19915099 -0.010839 0.045848999
-0.199296 -0.011124 0.045986999
-0.199277 -0.011406 0.045876
-0.1996 -0.011693 0.046285
-0.1996 -0.011975 0.046202
-0.199913 -0.012261 0.046595
-0.19989 -0.012543 0.046477001
-0.199881 -0.012825 0.046381999
-0.20021699 -0.01311 0.046811
-0.200381 -0.013394 0.046978001
-0.200525 -0.013676 0.047115002
-0.20067801 -0.013959 0.047265999
-0.20084301 -0.014241 0.047435001
-0.20082299 -0.014523 0.047322001
-0.200799 -0.014805 0.047201999
-0.201116 -0.015087 0.047603998
-0.201286 -0.015369 0.04778
-0.20143899 -0.01565 0.047931999
-0.20142201 -0.015931999 0.047823001
-0.201737 -0.016212 0.048223
-0.20189799 -0.016493 0.048386
-0.20206 -0.016773 0.048551999
-0.20203 -0.017054999 0.048422001
-0.202171 -0.017335 0.048556
-0.20233899 -0.017615 0.048730001
-0.2025 -0.017894 0.048893999
-0.20265201 -0.018173 0.049045
-0.20281 -0.018452 0.049203999
-0.202986 -0.01873 0.049391001
-0.203291 -0.019005001 0.049777001
-0.20327801 -0.019286999 0.049674001
-0.203594 -0.019561 0.050076999
-0.203601 -0.019842001 0.050004002
-0.203903 -0.020116 0.050384998
-0.20389 -0.020397 0.050282001
-0.203885 -0.020679001 0.050193001
-0.204207 -0.020950001 0.050604999
-0.204363 -0.021227 0.050762001
-0.204496 -0.021503 0.050882999
-0.204493 -0.021785 0.050797999
-0.20480099 -0.022055 0.051189002
-0.20479199 -0.022336001 0.051091999
-0.20494001 -0.022612 0.051236998
-0.20509399 -0.022887001 0.051391002
-0.20541599 -0.023154 0.051805001
-0.20540699 -0.023436001 0.051709
-0.205551 -0.023709999 0.051848002
-0.205695 -0.023985 0.051987998
-0.205863 -0.024258001 0.052164
-0.20600601 -0.024532 0.052301001
-0.206167 -0.024804 0.052468002
-0.206319 -0.025077 0.052620001
-0.20648301 -0.025349 0.052790001
-0.20646299 -0.025630999 0.052677002
-0.206597 -0.025905 0.052802
-0.206753 -0.026177 0.052960001
-0.206902 -0.026449 0.053107001
-0.207047 -0.026721001 0.05325
-0.207176 -0.026993999 0.053366002
-0.207178 -0.027275 0.053286999
-0.207488 -0.027535001 0.053684998
-0.207646 -0.027805001 0.053846002
-0.20778701 -0.028076001 0.053982001
-0.207955 -0.028345 0.054159999
-0.20809899 -0.028616 0.054299999
-0.208252 -0.028884999 0.054455001
-0.208398 -0.029154999 0.054598998
-0.208566 -0.029423 0.054776002
-0.208707 -0.029692 0.054912999
-0.208693 -0.029974001 0.054809
-0.208837 -0.030243 0.054949999
-0.20897999 -0.030512 0.055089999
-0.209132 -0.030780001 0.055243
-0.209122 -0.031060999 0.055146001
-0.209429 -0.031316001 0.055539999
-0.209582 -0.031583 0.055695001
-0.209736 -0.031849001 0.055852
-0.20972399 -0.032131001 0.055751
-0.21002901 -0.032382999 0.056141999
-0.21017601 -0.032650001 0.056288999
-0.21032199 -0.032915998 0.056433
-0.210455 -0.033183999 0.056558002
-0.210621 -0.033448 0.056733999
-0.21076401 -0.033713002 0.056876
-0.21091001 -0.033978999 0.057020999
-0.21089999 -0.034260001 0.056922998
-0.211053 -0.034524001 0.057078999
-0.211208 -0.034788001 0.057239
-0.21134 -0.035053998 0.057360999
-0.211483 -0.035319 0.057503
-0.211632 -0.035583001 0.057652
-0.211788 -0.035845999 0.057813
-0.21191899 -0.036111001 0.057937
-0.211915 -0.036392 0.057847999
-0.212219 -0.036635999 0.05824
-0.21237101 -0.036897998 0.058394998
-0.21235 -0.037181001 0.058281001
-0.21248101 -0.037445001 0.058403
-0.21263599 -0.037707001 0.058563001
-0.21277601 -0.037969001 0.058701001
-0.212919 -0.038231999 0.058841001
-0.21305101 -0.038495 0.058966
-0.213211 -0.038754001 0.059133999
-0.213349 -0.039016001 0.059268001
-0.21349899 -0.039276998 0.059420999
-0.213496 -0.039556999 0.059333999
-0.21379501 -0.039797001 0.059719998
-0.213788 -0.040077999 0.059627
-0.214073 -0.040318999 0.059990998
-0.21407899 -0.040598001 0.059920002
-0.21438099 -0.040835001 0.060309999
-0.21437199 -0.041115999 0.060214002
-0.214353 -0.041398998 0.060102001
