# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 41785
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 41785
DATA ascii
-0.055498999 0.00032699999 -0.18829399
-0.055497002 0.00041000001 -0.18826599
-0.055495001 0.00049200002 -0.188254
-0.055493999 0.00057500001 -0.188236
-0.055491999 0.00065900001 -0.18821
-0.055489998 0.00073999999 -0.188198
-0.055488002 0.00082000002 -0.188198
-0.055484999 0.000902 -0.188206
-0.055482 0.00098100002 -0.188228
-0.055477999 0.001061 -0.18825001
-0.055475 0.0011399999 -0.188273
-0.055472001 0.001222 -0.188273
-0.055470001 0.001304 -0.188271
-0.055466998 0.0013839999 -0.188279
-0.055463001 0.001464 -0.188297
-0.055459999 0.001545 -0.188311
-0.055458002 0.001625 -0.188309
-0.055454999 0.001707 -0.188315
-0.055452 0.001787 -0.188335
-0.055449001 0.001867 -0.188348
-0.055445999 0.001947 -0.188352
-0.055443 0.0020290001 -0.188352
-0.055441 0.002112 -0.188356
-0.055438001 0.0021919999 -0.188366
-0.055435002 0.0022720001 -0.188372
-0.055431999 0.002354 -0.188374
-0.055429 0.0024339999 -0.188392
-0.055422001 0.002593 -0.188434
-0.055419002 0.0026750001 -0.18845101
-0.055417001 0.002755 -0.18844301
-0.055413999 0.0028369999 -0.188435
-0.055411998 0.0029190001 -0.188439
-0.055408999 0.002999 -0.188449
-0.055404998 0.003082 -0.188465
-0.055402 0.0031600001 -0.188483
-0.055399001 0.00324 -0.188499
-0.055396002 0.0033229999 -0.18850701
-0.055392999 0.0034030001 -0.18851499
-0.05539 0.003483 -0.18854
-0.055387001 0.0035629999 -0.188548
-0.055385001 0.003645 -0.18854
-0.055381998 0.003727 -0.18853401
-0.055078998 -3.7000002e-05 -0.18829399
-0.055078 4.8000002e-05 -0.188252
-0.055077001 0.000132 -0.18822999
-0.055075999 0.00021499999 -0.18820401
-0.055073999 0.00029900001 -0.18818399
-0.055073 0.000382 -0.188154
-0.055071998 0.00046499999 -0.18812899
-0.055070002 0.00054699997 -0.188117
-0.055066999 0.00062900002 -0.188117
-0.055064999 0.00070899999 -0.188117
-0.055063002 0.00079100003 -0.188109
-0.055059999 0.00087300001 -0.18810099
-0.055057999 0.00095299998 -0.188109
-0.055055 0.001035 -0.188117
-0.055050999 0.001113 -0.188133
-0.055048 0.001194 -0.18815599
-0.055045001 0.001274 -0.18817
-0.055041999 0.0013539999 -0.18817399
-0.055039 0.001436 -0.188182
-0.055036001 0.001517 -0.188192
-0.055032998 0.0015970001 -0.18820401
-0.055029999 0.001677 -0.188224
-0.055025999 0.001756 -0.188242
-0.055024002 0.001838 -0.188246
-0.055020999 0.00192 -0.188242
-0.055018999 0.0020000001 -0.188241
-0.055016 0.002082 -0.188243
-0.055013999 0.0021629999 -0.188235
-0.055011999 0.0022470001 -0.18822099
-0.055009998 0.002327 -0.188219
-0.055007 0.0024089999 -0.188223
-0.055004001 0.0024890001 -0.18823101
-0.055001002 0.002569 -0.188243
-0.054997999 0.0026519999 -0.188251
-0.054995999 0.0027320001 -0.18825901
-0.054993 0.002812 -0.18826599
-0.054990001 0.0028939999 -0.18827
-0.054986998 0.0029740001 -0.188278
-0.054984 0.003055 -0.188302
-0.054979999 0.0031349999 -0.188324
-0.054977 0.003214 -0.18834201
-0.054974001 0.003296 -0.188352
-0.054970998 0.0033760001 -0.18835799
-0.054969002 0.003458 -0.18835001
-0.054967001 0.0035389999 -0.188337
-0.054965001 0.0036210001 -0.18832099
-0.054963 0.003705 -0.188311
-0.054961 0.0037849999 -0.18831301
-0.054958001 0.0038670001 -0.188317
-0.054956 0.003947 -0.188311
-0.054953001 0.0040290002 -0.188307
-0.054951001 0.0041109999 -0.18831301
-0.054947998 0.004191 -0.188319
-0.054945 0.0042710002 -0.188333
-0.054942001 0.0043529999 -0.188338
-0.054939002 0.004433 -0.188338
-0.054937001 0.0045150002 -0.188346
-0.054933 0.0045960001 -0.18836001
-0.054930001 0.0046760002 -0.18837
-0.054926999 0.0047579999 -0.18838
-0.054924 0.0048380001 -0.18839
-0.054922 0.0049180002 -0.18839601
-0.054919001 0.0050010001 -0.18840399
-0.054916002 0.0050809998 -0.18841
-0.054914001 0.0051620002 -0.18839701
-0.054912999 0.0052459999 -0.18837699
-0.054910999 0.0053289998 -0.18834899
-0.054908998 0.005409 -0.188337
-0.054905001 0.0054899999 -0.188373
-0.054903001 0.0055720001 -0.188373
-0.054900002 0.0056520002 -0.188379
-0.054896999 0.0057339999 -0.188389
-0.054894 0.005814 -0.18839499
-0.054892 0.0058960002 -0.188391
-0.054889001 0.0059779999 -0.18839
-0.054885998 0.006058 -0.1884
-0.054884002 0.0061400002 -0.18840399
-0.054880999 0.0062199999 -0.188402
-0.054878999 0.006302 -0.18840399
-0.054876 0.0063820002 -0.188408
-0.054873001 0.0064639999 -0.188416
-0.054871 0.0065469998 -0.188418
-0.054866999 0.0066269999 -0.18843199
-0.054864001 0.0067070001 -0.188444
-0.054862 0.0067889998 -0.18844099
-0.054861002 0.0068700002 -0.188419
