# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 24178
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 24178
DATA ascii
-0.241659 -0.001929 0.10596
-0.24124999 -0.001914 0.10534
-0.241734 -0.001928 0.106068
-0.238791 -0.001288 0.101772
-0.24165501 -0.001749 0.106009
-0.24181101 -0.0019349999 0.106191
-0.241321 -0.001917 0.105446
-0.241659 -0.001745 0.106013
-0.238868 -0.001288 0.101888
-0.241328 -0.0017359999 0.105512
-0.241731 -0.00193 0.10607
-0.239114 -0.001295 0.102259
-0.241254 -0.001914 0.105345
-0.24181101 -0.0019330001 0.106191
-0.24132299 -0.001917 0.10545
-0.2388 -0.0012910001 0.101788
-0.238772 -0.001474 0.101691
-0.24173 -0.0019349999 0.106071
-0.241253 -0.001911 0.105343
-0.24124999 -0.0019189999 0.105342
-0.24174 -0.001929 0.106081
-0.24165501 -0.001932 0.105956
-0.241807 -0.0019330001 0.106188
-0.241724 -0.0019340001 0.106085
-0.24118701 -0.001725 0.10625
-0.24093001 -0.001898 0.105809
-0.234605 -0.001438 0.099702999
-0.194622 0.010763 0.071433999
-0.19471399 0.010543 0.071511
-0.19471399 0.010334 0.071447998
-0.19471 0.010125 0.071381003
-0.19479699 0.0099060005 0.071451001
-0.194794 0.0096969996 0.071385004
-0.194892 0.0094769998 0.07147
-0.194977 0.0092580002 0.071534999
-0.19497301 0.0090490002 0.071468003
-0.194975 0.008839 0.07141
-0.19507299 0.0086190002 0.071494997
-0.19516499 0.0083999997 0.071571
-0.19527 0.0081799999 0.071667001
-0.195269 0.0079699997 0.071603999
-0.19536801 0.0077510001 0.071691997
-0.19535799 0.0075420002 0.071615003
-0.195448 0.0073230001 0.071687996
-0.195556 0.0071029998 0.071787998
-0.19555999 0.0068930001 0.071732
-0.195658 0.0066740001 0.071818002
-0.19575199 0.006455 0.071897
-0.19585399 0.006236 0.071989
-0.19585299 0.0060259998 0.071925998
-0.19604699 0.0057999999 0.072155997
-0.19605701 0.0055889999 0.072108999
-0.196161 0.0053699999 0.072205
-0.19615699 0.0051600002 0.072136
-0.196346 0.0049339999 0.072360002
-0.19633999 0.0047249999 0.072287999
-0.196337 0.0045139999 0.072221003
-0.19643401 0.0042969999 0.072306998
-0.196541 0.0040779999 0.072405003
-0.19653501 0.0038680001 0.072336003
-0.19673499 0.003643 0.072575003
-0.19672801 0.0034330001 0.072502002
-0.19672 0.0032230001 0.072429001
-0.196822 0.0030050001 0.072521001
-0.196813 0.0027950001 0.072444998
-0.196907 0.0025780001 0.072525002
-0.197015 0.002361 0.072627001
-0.192856 0.010413 0.071994998
-0.192948 0.010194 0.072071999
-0.19294401 0.0099860001 0.072003998
-0.192941 0.0097770002 0.071938999
-0.193143 0.0095459996 0.072180003
-0.19314601 0.0093369996 0.072122999
-0.19323801 0.009118 0.0722
-0.193344 0.0088980002 0.072296001
-0.193433 0.00868 0.072368003
-0.19342899 0.008471 0.072301999
-0.193425 0.008262 0.072233997
-0.193524 0.0080429995 0.072322004
-0.19361299 0.0078250002 0.072393
-0.19361 0.0076159998 0.072327003
-0.193606 0.0074069998 0.072260998
-0.19370501 0.0071879998 0.072346002
