# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 516
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 516
DATA ascii
-0.035059001 0.075436004 0.009943
-0.035636999 0.077085003 0.009935
-0.035362501 0.078316003 0.0098755006
-0.035364248 0.071310259 0.01178275
-0.034701087 0.073194481 0.011157435
-0.032786217 0.073580451 0.011704557
-0.028339 0.073743999 0.011899
-0.024429001 0.073870003 0.011919
-0.034844611 0.075006038 0.011019306
-0.032920502 0.075135812 0.011420181
-0.031193849 0.075319849 0.011520385
-0.028978001 0.07509882 0.011873272
-0.026949 0.075138822 0.011596182
-0.0254608 0.074687198 0.011821
-0.022096001 0.075106002 0.011995
-0.021726999 0.074819997 0.011988
-0.018895499 0.075710498 0.0118395
-0.022977332 0.077154286 0.011655809
-0.021067601 0.077210695 0.0118042
-0.018950002 0.077141136 0.011745134
-0.017300429 0.077186003 0.011813285
-0.010996 0.077006996 0.011926999
-0.0091800001 0.077273995 0.011844833
-0.036672499 0.063589498 0.013989
-0.036156252 0.064836249 0.013565751
-0.035368636 0.065496638 0.013606182
-0.026594 0.065764003 0.013977
-0.036319248 0.067520246 0.012481499
-0.03542909 0.066979215 0.013449741
-0.033034999 0.067037255 0.01389425
-0.031288233 0.067010157 0.013711076
-0.028689999 0.06696675 0.013805375
-0.0274105 0.0678785 0.013752
-0.025415499 0.067309991 0.01382525
-0.023753 0.067822002 0.013937
-0.036237203 0.069024734 0.012758734
-0.035113242 0.069078624 0.013272033
-0.033102699 0.068997599 0.013764801
-0.030900789 0.06904231 0.013723316
-0.029137211 0.068834856 0.013841714
-0.026976593 0.069101363 0.013619772
-0.025063291 0.068998992 0.013655528
-0.022790199 0.0688508 0.0137822
-0.021274166 0.06900733 0.013685999
-0.012199501 0.0696785 0.013874
-0.036064997 0.070332006 0.012524
-0.034846999 0.070945375 0.013091039
-0.028776571 0.071420647 0.013262001
-0.026992381 0.07117077 0.013420384
-0.025047632 0.071225904 0.013607
-0.023091666 0.071682222 0.013733445
-0.021284198 0.071449198 0.0137191
-0.019110547 0.071532361 0.013609728
-0.017147874 0.071366124 0.013819249
-0.0154235 0.071787499 0.013966501
-0.012813857 0.071454428 0.013868715
-0.01145 0.071557201 0.0138562
-0.027048267 0.072895542 0.012986046
-0.024999371 0.072932474 0.013220815
-0.022842562 0.073081769 0.012828349
-0.021062968 0.07292679 0.01324045
-0.018962199 0.072979294 0.0132828
