# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 26030
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 26030
DATA ascii
-0.023273 -0.021418 -0.185561
-0.023271 -0.021338001 -0.18553901
-0.02327 -0.021263 -0.18551201
-0.023269 -0.021183001 -0.185486
-0.023267001 -0.021103 -0.18549
-0.023263 -0.021019001 -0.18550999
-0.023259001 -0.020934001 -0.18553799
-0.023863999 -0.026861001 -0.185822
-0.023861 -0.026779 -0.185837
-0.02386 -0.026701 -0.185817
-0.023858 -0.026621001 -0.185803
-0.023856999 -0.026542 -0.18577699
-0.023854 -0.026462 -0.18577699
-0.023851 -0.026380001 -0.185785
-0.023848999 -0.0263 -0.185789
-0.023847001 -0.026219999 -0.18577801
-0.023845 -0.026140001 -0.18575799
-0.023848001 -0.026072999 -0.185656
-0.023855999 -0.026013 -0.185461
-0.023855001 -0.025938001 -0.18542901
-0.023853 -0.025858 -0.18541899
-0.023843 -0.025759 -0.185571
-0.023840001 -0.025677999 -0.18557701
-0.023840001 -0.025602 -0.185525
-0.023845 -0.025539 -0.18538401
-0.023843 -0.025457 -0.18538199
-0.023840001 -0.025377 -0.185386
-0.023838 -0.025296999 -0.185376
-0.023837 -0.025219001 -0.185353
-0.023835 -0.025140001 -0.18534499
-0.023831001 -0.025056999 -0.18536299
-0.023828 -0.024975 -0.185379
-0.023825999 -0.024894999 -0.185379
-0.023825999 -0.02482 -0.185315
-0.023825999 -0.024745001 -0.185268
-0.023824999 -0.024668001 -0.185238
-0.023824001 -0.024590001 -0.18521801
-0.023823 -0.024513001 -0.18520001
-0.023821 -0.024433 -0.185186
-0.023819 -0.024352999 -0.18518101
-0.023817001 -0.024276 -0.185159
-0.023815 -0.024194 -0.18516099
-0.023812 -0.024114 -0.185173
-0.023809001 -0.024032 -0.185169
-0.023807 -0.023952 -0.18516099
-0.023804 -0.023870001 -0.185167
-0.023801001 -0.02379 -0.185177
-0.023799 -0.023707001 -0.18518101
-0.023796 -0.023628 -0.18517999
-0.023793999 -0.023548 -0.185174
-0.023793999 -0.023473 -0.185128
-0.023796 -0.023403 -0.18504301
-0.023797 -0.023329999 -0.184985
-0.023794999 -0.023251999 -0.184967
-0.023793001 -0.023172 -0.18496101
-0.023791 -0.023093 -0.18495101
-0.023789 -0.023012999 -0.184946
-0.023786999 -0.022934999 -0.184926
-0.023786001 -0.022857999 -0.18490399
-0.023783 -0.022776 -0.18491
-0.023779999 -0.022691 -0.18493401
-0.023776 -0.022608999 -0.184946
-0.023773 -0.022526 -0.184962
-0.023770001 -0.022444 -0.18497799
-0.023767 -0.022364 -0.184976
-0.023766 -0.022284999 -0.18496101
-0.023762999 -0.022202 -0.18496899
-0.02376 -0.022121999 -0.184975
-0.023759 -0.022043001 -0.184957
-0.023758 -0.021966999 -0.184929
-0.023755999 -0.02189 -0.18490499
-0.023755001 -0.021811999 -0.18488599
-0.023753 -0.021733001 -0.184874
-0.023751 -0.021653 -0.18487
-0.023747999 -0.021570001 -0.184882
-0.023744 -0.021485999 -0.1849
-0.023740999 -0.021406 -0.184908
-0.023739001 -0.021323999 -0.184908
-0.023736 -0.021242 -0.184918
-0.023731999 -0.021157 -0.18494
-0.023729 -0.021074999 -0.184956
-0.023724999 -0.020989999 -0.18497799
-0.023721 -0.020904001 -0.18501601
-0.023716001 -0.020817 -0.185058
-0.023711 -0.02073 -0.18510801
-0.023706 -0.020640001 -0.18516199
-0.023700001 -0.020548999 -0.18523
-0.023696 -0.020463999 -0.185256
-0.024636 -0.039941002 -0.186536
-0.024633 -0.039861001 -0.186536
-0.024630999 -0.039779998 -0.186528
-0.024421999 -0.032071002 -0.185975
-0.024413999 -0.031982999 -0.186067
-0.024411 -0.031900998 -0.18608101
-0.024412001 -0.031826001 -0.186013
-0.024412001 -0.031746998 -0.185967
-0.02441 -0.03167 -0.18595
-0.02441 -0.031590998 -0.18591601
-0.024409 -0.031513002 -0.185884
-0.024408 -0.031436 -0.18584201
-0.024408 -0.031358998 -0.185802
-0.024405999 -0.031279001 -0.185799
-0.024401 -0.031194 -0.185835
-0.024397001 -0.031111 -0.18587901
-0.024393 -0.031027 -0.18590701
-0.024389001 -0.030944999 -0.18592501
-0.024387 -0.030865001 -0.185923
-0.024383999 -0.030781999 -0.185927
-0.024402 -0.030737 -0.18553799
-0.024398999 -0.030655 -0.18554799
-0.024394 -0.03057 -0.185588
-0.024388 -0.030484 -0.185662
-0.024383999 -0.030401999 -0.18568601
-0.024383999 -0.030324999 -0.185634
-0.024382999 -0.030246999 -0.185617
-0.024381001 -0.030168001 -0.185601
-0.024378 -0.030086 -0.18561301
-0.024375999 -0.030005001 -0.185615
-0.024373 -0.029922999 -0.185615
-0.02437 -0.029843001 -0.18562301
-0.02437 -0.029766001 -0.185571
-0.024378 -0.029704999 -0.18538401
-0.024374999 -0.029625 -0.185378
-0.024372 -0.029542999 -0.185388
-0.02437 -0.029463001 -0.18538301
-0.024367999 -0.029383 -0.185377
-0.024365 -0.029302999 -0.185381
-0.024363 -0.029221 -0.185385
-0.024359999 -0.029141 -0.185387
-0.024358001 -0.029061001 -0.185371
-0.024357 -0.028981 -0.185359
-0.024354 -0.028901 -0.185361
-0.024351999 -0.028821001 -0.18535601
-0.024349 -0.028741 -0.185358
-0.024346 -0.028658999 -0.185368
-0.024343999 -0.028579 -0.18537401
-0.024341 -0.028496999 -0.18537401
-0.024338 -0.028417001 -0.185376
-0.024336999 -0.028339 -0.185358
-0.024336999 -0.028262001 -0.185311
-0.024336001 -0.028185001 -0.185287
-0.024334 -0.028107001 -0.185267
-0.024333 -0.028028 -0.185241
-0.024331 -0.02795 -0.18522701
-0.024328999 -0.027871 -0.18522
-0.024327001 -0.027791001 -0.185212
-0.024325 -0.027711 -0.185206
-0.024323 -0.027631 -0.18519799
-0.024320001 -0.027549 -0.185202
-0.024318 -0.027469 -0.18520799
-0.024316 -0.027388999 -0.185192
-0.024313999 -0.027309 -0.185184
-0.024311 -0.027229 -0.18519101
-0.024308 -0.027147001 -0.18519101
-0.024305999 -0.027067 -0.18519101
-0.024303 -0.026985001 -0.18520901
-0.024298999 -0.026903 -0.185225
-0.024297999 -0.026825 -0.185205
-0.024297999 -0.02675 -0.185157
-0.024296001 -0.026671 -0.185138
-0.024294 -0.026590999 -0.185132
-0.024293 -0.026512999 -0.185114
-0.024290999 -0.026433 -0.185102
-0.024288001 -0.026353 -0.185102
-0.024285 -0.026271001 -0.185114
-0.024282999 -0.026188999 -0.18512
-0.024281001 -0.026110999 -0.185103
-0.024279 -0.026032001 -0.18508901
-0.024277 -0.025952 -0.185087
-0.024274001 -0.025872 -0.185095
-0.024271 -0.025789 -0.185105
-0.024269 -0.02571 -0.185103
-0.024266999 -0.025629999 -0.185087
-0.024265001 -0.02555 -0.185084
-0.024262 -0.025467999 -0.18509001
-0.024259999 -0.025388001 -0.185084
-0.024258999 -0.025312999 -0.185056
-0.024258001 -0.025234999 -0.18502399
-0.024257001 -0.025157999 -0.18499599
-0.024255 -0.025078001 -0.18498699
-0.024251999 -0.024995999 -0.184999
-0.024249 -0.024916001 -0.185001
-0.024247 -0.024836 -0.185001
-0.024243999 -0.024755999 -0.184999
-0.024242001 -0.024674 -0.184995
-0.02424 -0.024594 -0.184999
-0.024236999 -0.024514001 -0.18499701
-0.024235001 -0.024434 -0.184992
-0.024233 -0.024354 -0.184984
-0.024231 -0.024274999 -0.18497799
-0.024227999 -0.024195001 -0.18497799
-0.024226001 -0.024112999 -0.18498001
-0.024223 -0.024033001 -0.18498001
-0.024220999 -0.023953 -0.18497799
-0.024219001 -0.023871001 -0.184972
-0.024217 -0.023793001 -0.184967
-0.024215 -0.023715001 -0.18494099
-0.024214 -0.023638001 -0.184911
-0.024212999 -0.023561001 -0.184893
-0.024211001 -0.023481 -0.18487699
-0.02421 -0.023403 -0.184854
-0.024208 -0.023326 -0.184846
-0.024204999 -0.023243999 -0.18485001
-0.024203001 -0.023161 -0.184856
-0.024201 -0.023081999 -0.184846
-0.024199 -0.023003999 -0.184838
-0.024196001 -0.022924 -0.18483301
-0.024194 -0.022844 -0.184825
-0.024192 -0.022763999 -0.18482301
-0.024189999 -0.022682 -0.18482099
-0.024187 -0.022604 -0.184817
-0.024185 -0.022522001 -0.184817
-0.024181999 -0.022442 -0.184817
-0.024180001 -0.022361999 -0.184819
-0.024177 -0.02228 -0.18482199
-0.024176 -0.022203 -0.184802
-0.024174999 -0.022127001 -0.184772
-0.024173001 -0.022048 -0.184756
-0.024171 -0.021968 -0.18474799
-0.024169 -0.021888001 -0.18475001
-0.024165999 -0.021806 -0.184752
-0.024164001 -0.021728 -0.18474101
-0.024162 -0.021648001 -0.184737
-0.024158999 -0.021566 -0.184751
-0.024156 -0.021482 -0.184761
-0.024153 -0.021402 -0.18476699
-0.024150001 -0.02132 -0.18477701
-0.024146 -0.021235 -0.184801
-0.024142999 -0.021152999 -0.18481299
-0.02414 -0.021067999 -0.18483099
-0.024134999 -0.020984 -0.18486901
-0.024131 -0.020899 -0.18489499
-0.024127999 -0.020817 -0.184907
-0.024123 -0.020728 -0.18495899
-0.024118001 -0.020639 -0.185011
-0.024112999 -0.020552 -0.185049
-0.024106 -0.020458 -0.185133
-0.024098 -0.020361001 -0.18524399
-0.024092 -0.020269999 -0.185312
-0.024086 -0.020179 -0.18538
-0.024932999 -0.039512999 -0.186896
-0.024932001 -0.039434001 -0.186878
-0.024929 -0.039351001 -0.186882
-0.024922 -0.039267998 -0.186968
-0.024917999 -0.039184999 -0.187012
-0.024916001 -0.039105002 -0.186996
-0.024915 -0.039026 -0.18697201
-0.024905 -0.038543999 -0.186877
-0.024906 -0.038465001 -0.186799
-0.024904 -0.038385998 -0.186785
-0.024899 -0.038302001 -0.186847
-0.024892 -0.038219001 -0.186923
-0.024882 -0.036952 -0.186332
-0.024879999 -0.036872 -0.186333
-0.024874 -0.036787 -0.18639401
-0.024870001 -0.036706001 -0.186435
-0.024867 -0.036626 -0.186437
-0.024884 -0.036561999 -0.186048
-0.024881 -0.036481999 -0.18605199
-0.024878999 -0.036403 -0.186038
-0.024878999 -0.036323 -0.186002
-0.024876 -0.036242999 -0.18601
-0.024873 -0.036161002 -0.186022
-0.024870001 -0.036081001 -0.18603601
-0.024867 -0.036001001 -0.186038
-0.024870001 -0.035925001 -0.18593299
-0.024868 -0.035845 -0.185913
-0.024865 -0.035765 -0.18593501
-0.02486 -0.035682 -0.185991
-0.024855999 -0.035599001 -0.18601499
-0.024842 -0.035115 -0.18600599
-0.024839999 -0.035038002 -0.185986
-0.024838001 -0.034956001 -0.185976
-0.024836 -0.034876 -0.185968
-0.024835 -0.034797002 -0.18595
-0.024836 -0.034722 -0.185881
-0.024839001 -0.034649 -0.185755
-0.024838001 -0.034570001 -0.185729
-0.024842 -0.034497999 -0.185606
-0.024843 -0.034419999 -0.185544
-0.024839999 -0.034340002 -0.185542
-0.024839001 -0.034262002 -0.185522
-0.024836 -0.03418 -0.185536
-0.024831999 -0.034097001 -0.18556599
-0.024829 -0.034017 -0.18556499
-0.024829 -0.033939999 -0.185517
-0.024828 -0.033863001 -0.185487
-0.024824999 -0.033780999 -0.185497
-0.024822 -0.033700999 -0.185507
-0.02482 -0.033619002 -0.185509
-0.024816999 -0.033537999 -0.185517
-0.024814 -0.033457998 -0.185522
-0.024812 -0.033378001 -0.185526
-0.024808001 -0.033296 -0.18553799
-0.024806 -0.033216 -0.185542
-0.024804 -0.033135999 -0.185534
-0.024804 -0.033059001 -0.18549
-0.024806 -0.032985002 -0.185385
-0.024805 -0.032906 -0.185371
-0.024801999 -0.032825999 -0.185369
-0.024800001 -0.032745998 -0.18537299
-0.024797 -0.032666001 -0.185381
-0.024793999 -0.032586001 -0.185377
-0.024793001 -0.032506 -0.18535399
-0.024791 -0.032426 -0.185348
-0.024788 -0.032345999 -0.18535601
-0.024785999 -0.032267001 -0.185342
-0.024784001 -0.032187 -0.185332
-0.024781 -0.032106999 -0.185344
-0.024777999 -0.032024 -0.185352
-0.024776001 -0.031943999 -0.185348
-0.024774 -0.031863999 -0.185353
-0.024769999 -0.031782001 -0.185367
-0.024767 -0.031702001 -0.18538301
-0.024765 -0.03162 -0.185385
-0.024765 -0.031544998 -0.185325
-0.024765 -0.031468 -0.18527301
-0.024762999 -0.031388 -0.18526199
-0.024761001 -0.031311002 -0.18526
-0.024758 -0.031228 -0.185266
-0.024755999 -0.031148 -0.18527199
-0.024753001 -0.031067999 -0.185274
-0.02475 -0.030986 -0.185286
-0.024746999 -0.030904001 -0.185302
-0.024745001 -0.030824 -0.185284
-0.024744 -0.030747 -0.185261
-0.024742 -0.030667 -0.18525501
-0.024738999 -0.030587001 -0.185261
-0.024735 -0.030503999 -0.18528099
-0.024731999 -0.030422 -0.18529899
-0.024729 -0.030342 -0.185303
-0.024727 -0.030262001 -0.18529101
-0.024726 -0.030183 -0.185269
-0.024724999 -0.030105 -0.185252
-0.024723001 -0.030025 -0.18523
-0.024722001 -0.029948 -0.18519799
-0.024721 -0.029871 -0.18518201
-0.024719 -0.029790999 -0.18516999
-0.024716999 -0.029711001 -0.185159
-0.024714001 -0.029631 -0.185165
-0.024711 -0.029549001 -0.185175
-0.024708999 -0.029469 -0.185179
-0.024707001 -0.029389 -0.185167
-0.024705 -0.029310999 -0.185147
-0.024703 -0.029231999 -0.185137
-0.024700999 -0.029152 -0.18514
-0.024698 -0.029069999 -0.18514401
-0.024696 -0.028989 -0.185146
-0.024693999 -0.02891 -0.18513601
-0.024692001 -0.028829999 -0.185122
-0.024689 -0.028750001 -0.185122
-0.024685999 -0.02867 -0.185132
-0.024684001 -0.028588001 -0.185138
-0.024682 -0.028510001 -0.18512499
-0.024681 -0.028431 -0.18509901
-0.024679 -0.028353 -0.185093
-0.024676001 -0.028271001 -0.185101
-0.024674 -0.028191 -0.185095
-0.024672 -0.028111 -0.185085
-0.024669001 -0.028031001 -0.18508901
-0.024666 -0.027949 -0.185095
-0.024664 -0.027871 -0.18508799
-0.024661999 -0.027789 -0.185082
-0.024659 -0.027709 -0.185084
-0.024657 -0.027628999 -0.185084
-0.024653999 -0.027549 -0.185086
-0.024652001 -0.027469 -0.18508001
-0.02465 -0.027388999 -0.185072
-0.024646999 -0.027307 -0.18507899
-0.024645001 -0.027226999 -0.18507899
-0.024643 -0.027147001 -0.185073
-0.024641 -0.027068 -0.185067
-0.024638999 -0.02699 -0.185047
-0.024638001 -0.026913 -0.18502299
-0.024636 -0.026833 -0.18501
-0.024634 -0.026753001 -0.185012
-0.024630001 -0.026671 -0.18502399
-0.024628 -0.026588 -0.18503
-0.024626 -0.026511 -0.18502
-0.024622999 -0.026428999 -0.185022
-0.02462 -0.026349001 -0.185026
-0.024618 -0.026269 -0.18502
-0.024615999 -0.026188999 -0.18501499
-0.024614001 -0.026109001 -0.185009
-0.024612 -0.026029 -0.185003
-0.02461 -0.025948999 -0.184991
-0.024608999 -0.025872 -0.184971
-0.024606001 -0.025792001 -0.184967
-0.024604 -0.025712 -0.18496899
-0.024600999 -0.025629999 -0.18497799
-0.024598001 -0.02555 -0.18498001
-0.024596 -0.02547 -0.18497001
-0.024595 -0.025389999 -0.184954
-0.024592999 -0.025312999 -0.184948
-0.024590001 -0.025233001 -0.18494
-0.024588 -0.025153 -0.184936
-0.024586 -0.025071001 -0.18494
-0.024583001 -0.024991 -0.184939
-0.024581 -0.024910999 -0.184935
-0.024577999 -0.024829 -0.18494301
-0.024575001 -0.024746001 -0.184957
-0.024572 -0.024666 -0.184957
-0.024569999 -0.024587 -0.184949
-0.024568001 -0.024506999 -0.18494301
-0.024566 -0.024427 -0.184937
-0.024564 -0.024349 -0.18492401
-0.024561999 -0.02427 -0.18491
-0.024560001 -0.024189999 -0.1849
-0.024559001 -0.024111999 -0.18489
-0.024556 -0.02403 -0.18489
-0.024553001 -0.023949999 -0.184894
-0.024551 -0.023868 -0.18489601
-0.024549 -0.02379 -0.18487699
-0.024549 -0.023715001 -0.184843
-0.024546999 -0.023636 -0.184825
-0.024545001 -0.023556 -0.184819
-0.024542 -0.023476001 -0.18482301
-0.02454 -0.023396 -0.184824
-0.024537999 -0.023316 -0.184818
-0.024535 -0.023234 -0.184818
-0.024533 -0.023154 -0.184818
-0.024529999 -0.023072001 -0.184824
-0.024527 -0.022992 -0.184824
-0.024526 -0.022914 -0.18481
-0.024524 -0.022833999 -0.18479
-0.024522999 -0.022756999 -0.184773
-0.024521001 -0.022678999 -0.18475699
-0.024519 -0.022599 -0.184751
-0.024517 -0.022519 -0.18474901
-0.024514999 -0.02244 -0.184737
-0.024513001 -0.022361999 -0.184726
-0.024511 -0.022282001 -0.18471999
-0.024509 -0.022202 -0.184716
-0.024506001 -0.022121999 -0.184714
-0.024504 -0.022042001 -0.184708
-0.024502 -0.021963 -0.18470401
-0.024498999 -0.021880999 -0.18470401
-0.024497001 -0.021801 -0.18470401
-0.024494 -0.02172 -0.184709
-0.024491001 -0.021638 -0.18471301
-0.024489 -0.021555999 -0.184717
-0.024486 -0.021476001 -0.184723
-0.024483001 -0.021393999 -0.18472899
-0.024481 -0.021314001 -0.184733
-0.024476999 -0.021229999 -0.184751
-0.024473 -0.021144999 -0.18477499
-0.02447 -0.021063 -0.184789
-0.024467001 -0.020978 -0.184807
-0.024463 -0.020894 -0.184835
-0.024459001 -0.020809 -0.184865
-0.024455 -0.020725001 -0.184893
-0.024451001 -0.020640001 -0.184919
-0.024447 -0.020553 -0.184953
-0.02444 -0.020462001 -0.18502299
-0.024434 -0.020368 -0.18510699
-0.024426 -0.020274 -0.18520001
-0.025195001 -0.040383998 -0.18702599
-0.025192 -0.040304001 -0.18702599
-0.025189999 -0.040222 -0.187024
-0.0252 -0.03999 -0.186673
-0.025196999 -0.03991 -0.186673
-0.025195999 -0.039831001 -0.18664099
-0.025195001 -0.039749 -0.186617
-0.025223 -0.039687 -0.18600699
-0.025220999 -0.039607 -0.185995
-0.025218001 -0.039526999 -0.18599901
-0.025215 -0.039446998 -0.18600699
-0.025212999 -0.039367002 -0.186003
-0.025211001 -0.039287001 -0.185995
-0.025210001 -0.039205 -0.185967
-0.025208 -0.039126001 -0.185955
-0.025204999 -0.039046001 -0.18595999
-0.025201 -0.038965002 -0.186004
-0.025195001 -0.038881 -0.186078
-0.025193 -0.038802002 -0.186058
-0.025193 -0.038722001 -0.18602
-0.025163 -0.038621999 -0.186579
-0.025156001 -0.038538001 -0.18665899
-0.025149999 -0.038454998 -0.18672501
-0.025147 -0.038373001 -0.18675099
-0.025141999 -0.038291998 -0.18679699
-0.025179001 -0.038240999 -0.185987
-0.025178 -0.038162 -0.185969
-0.025178 -0.038082998 -0.18590701
-0.025180999 -0.038006999 -0.1858
-0.025181999 -0.037930999 -0.18573
-0.025180001 -0.037850998 -0.185734
-0.025175 -0.037767999 -0.18578
-0.025175 -0.037689 -0.185726
-0.025178 -0.037613001 -0.185629
-0.025176 -0.037533998 -0.185607
-0.025178 -0.037457999 -0.185517
-0.025175 -0.037377998 -0.18552101
-0.025171001 -0.037296999 -0.185561
-0.025167 -0.037214 -0.185587
-0.025165001 -0.037133999 -0.185579
-0.025164001 -0.037055001 -0.18556
-0.025164001 -0.036977999 -0.185508
-0.025163 -0.036899 -0.18548401
-0.025158999 -0.036816001 -0.185504
-0.025157001 -0.036736 -0.1855
-0.025155 -0.036658 -0.18549
-0.025152 -0.036575999 -0.18550199
-0.025149001 -0.036495999 -0.185513
-0.025146 -0.036414001 -0.185525
-0.025142999 -0.036332998 -0.185541
-0.025140001 -0.036253002 -0.185541
-0.025141001 -0.036176998 -0.18548299
-0.025140001 -0.036097001 -0.185451
-0.025137 -0.036017001 -0.18544701
-0.025136 -0.035937998 -0.185432
-0.025134001 -0.035859998 -0.18542001
-0.025132 -0.035778001 -0.185414
-0.02513 -0.035700001 -0.18540999
-0.025126999 -0.035618 -0.185412
-0.025125001 -0.035539001 -0.185396
-0.025123 -0.035461001 -0.185396
-0.025119999 -0.035378002 -0.18541101
-0.025117001 -0.035298001 -0.185421
-0.025114 -0.035216 -0.185431
-0.025110999 -0.035135999 -0.18543901
-0.025108 -0.035055999 -0.185449
-0.025105 -0.034976002 -0.185453
-0.025103001 -0.034896001 -0.185451
-0.025101 -0.034816001 -0.185431
-0.025102001 -0.034738999 -0.18537199
-0.025103001 -0.034662999 -0.185304
-0.025102001 -0.034584999 -0.185278
-0.025099 -0.034503002 -0.185286
-0.025095999 -0.034423001 -0.18529999
-0.025093 -0.034343001 -0.185314
-0.02509 -0.034263 -0.185313
-0.025087999 -0.034180999 -0.185305
-0.025086001 -0.034100998 -0.185307
-0.025083 -0.034021001 -0.18530899
-0.025079999 -0.033941001 -0.185313
-0.025078001 -0.033861 -0.185321
-0.025075 -0.033778999 -0.185325
-0.025072999 -0.033698998 -0.185321
-0.025069 -0.033617999 -0.185334
-0.025065999 -0.033535998 -0.18535601
-0.025063001 -0.033456001 -0.18536399
-0.025061 -0.033376001 -0.185362
-0.025059 -0.033296 -0.185352
-0.02506 -0.033220001 -0.185286
-0.025059 -0.033142 -0.185247
-0.025056999 -0.033062998 -0.185243
-0.025054 -0.032983001 -0.18524501
-0.025052 -0.032903001 -0.185241
-0.025049999 -0.032823 -0.18523701
-0.025047 -0.032742999 -0.185241
-0.025045 -0.032662999 -0.185231
-0.025043 -0.032582998 -0.18522
-0.025041001 -0.032503001 -0.185212
-0.025039 -0.032423999 -0.18519799
-0.025037 -0.032343999 -0.185204
-0.025033001 -0.032263 -0.185224
-0.02503 -0.032180998 -0.185232
-0.025028 -0.032101002 -0.185232
-0.025025999 -0.032021001 -0.18522801
-0.025023 -0.031941 -0.18522701
-0.025021 -0.031861 -0.185233
-0.025017999 -0.031778999 -0.18523701
-0.025016 -0.031700999 -0.185221
-0.025015 -0.031622 -0.18518899
-0.025014 -0.031544 -0.185167
-0.025012 -0.031465001 -0.185159
-0.025009001 -0.031385001 -0.185164
-0.025006 -0.031302001 -0.185178
-0.025002999 -0.031222001 -0.185192
-0.025 -0.03114 -0.18519799
-0.024998 -0.031061999 -0.185186
-0.024997 -0.030982999 -0.185168
-0.024994001 -0.030903 -0.185166
-0.024992 -0.030820999 -0.18517201
-0.024989 -0.03074 -0.185175
-0.024986999 -0.030661 -0.185173
-0.024985 -0.030580999 -0.185167
-0.024982 -0.030501001 -0.18517099
-0.024979999 -0.030421 -0.185169
-0.024977 -0.030340999 -0.185167
-0.024975 -0.030261001 -0.18516301
-0.024972999 -0.030181 -0.185148
-0.024971999 -0.030104 -0.185118
-0.024971001 -0.030024 -0.185096
-0.024969 -0.029947 -0.185084
-0.024967 -0.029867001 -0.185084
-0.024963999 -0.029785 -0.185084
-0.024962001 -0.029707 -0.18507899
-0.024959 -0.029625 -0.185083
-0.024955999 -0.029541999 -0.185101
-0.024953 -0.029462 -0.18510699
-0.024952 -0.029383 -0.18508901
-0.02495 -0.029305 -0.18507899
-0.024947001 -0.029223001 -0.18508101
-0.024945 -0.029145001 -0.185073
-0.024944 -0.029065 -0.185056
-0.024940999 -0.028984999 -0.185054
-0.024939001 -0.028905001 -0.185058
-0.024936 -0.028822999 -0.18505999
-0.024932999 -0.028743001 -0.185064
-0.024931001 -0.028663 -0.185058
-0.02493 -0.028586 -0.18504199
-0.024928 -0.028506 -0.18502299
-0.024925999 -0.028429 -0.18500701
-0.024924001 -0.028348999 -0.18500499
-0.024921 -0.028267 -0.185009
-0.024919 -0.028186999 -0.185011
-0.024916001 -0.028106 -0.185021
-0.024912 -0.028022001 -0.185039
-0.024909001 -0.027942 -0.185055
-0.024907 -0.027860001 -0.185057
-0.024905 -0.02778 -0.185048
-0.024902999 -0.027702 -0.185032
-0.024901001 -0.027621999 -0.18502399
-0.024898 -0.027542001 -0.185026
-0.024896 -0.027462 -0.185022
-0.024893999 -0.027383 -0.18501601
-0.024891 -0.0273 -0.185022
-0.024889 -0.027221 -0.185021
-0.024886999 -0.027143 -0.18500499
-0.024886001 -0.027065 -0.184981
-0.024884 -0.026985999 -0.184967
-0.024882 -0.026906 -0.184965
-0.024878999 -0.026823999 -0.18496899
-0.024876 -0.026743 -0.184983
-0.024873 -0.026660999 -0.184986
-0.024870999 -0.026581001 -0.184984
-0.024868 -0.026501 -0.184986
-0.024865 -0.026419001 -0.18499599
-0.024862001 -0.026337 -0.185008
-0.02486 -0.026257001 -0.185004
-0.024859 -0.026179999 -0.184984
