%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1608043452732496713,5618,1608043452718847888,,113.848236084,93.3954620361,1.49437665939,375.037353516,255.136901855,88.76222229
1608043452766940397,5619,1608043452750816161,,111.216362,94.0803451538,-1.4399805069,378.125854492,256.861480713,89.2378616333
1608043452802664044,5620,1608043452783183698,,113.349143982,88.0227279663,-1.49746072292,377.403991699,256.778320312,89.1957015991
1608043452836572715,5621,1608043452819242950,,113.704360962,87.0120925903,-1.5006531477,377.330780029,256.843811035,89.0384216309
1608043452868578939,5622,1608043452851205770,,114.327819824,88.1996994019,-1.54375457764,377.316589355,257.180053711,89.1420288086
1608043452897422176,5623,1608043452882768314,,111.927597046,86.4343795776,-1.51837539673,377.351043701,256.7684021,88.8609466553
1608043452932766040,5624,1608043452918837967,,111.313568115,86.9848480225,-1.5212687254,377.130859375,256.523345947,88.6781234741
1608043452969065417,5625,1608043452950801962,,113.968696594,88.4983291626,1.53033196926,377.186920166,256.662261963,88.6906509399
1608043452996856553,5626,1608043452983416536,,113.527305603,85.7491607666,-1.49940335751,377.754272461,257.132385254,88.5737915039
1608043453035803017,5627,1608043453019498254,,115.441192627,87.1155090332,-1.5165733099,377.791107178,257.089141846,88.5492553711
1608043453066171737,5628,1608043453051431305,,112.491836548,88.0259246826,-1.53793907166,377.227813721,256.842346191,88.012298584
1608043453101640770,5629,1608043453083490548,,111.519813538,87.5365600586,-1.54165911674,377.375427246,256.188354492,87.357925415
1608043453134017559,5630,1608043453118850866,,113.36668396,87.6002807617,-1.53629994392,377.329498291,255.700286865,87.3156814575
1608043453165206091,5631,1608043453150801163,,110.873252869,87.874710083,-1.51619231701,377.420898438,256.593933105,87.4019393921
1608043453197683310,5632,1608043453182850529,,112.073730469,87.7081451416,1.56298851967,377.610595703,256.084869385,87.3527832031
1608043453238709288,5633,1608043453218855286,,113.368354797,87.3522644043,-1.50937151909,377.83706665,256.149291992,87.4445724487
1608043453265625123,5634,1608043453250813624,,113.32951355,86.9460601807,1.56399190426,377.613647461,255.500946045,87.4406967163
1608043453297417498,5635,1608043453283515340,,114.52671814,86.448097229,-1.56257462502,377.439086914,256.930145264,87.2356719971
1608043453332955047,5636,1608043453318902867,,115.934707642,89.2044143677,1.51687157154,376.412200928,256.413269043,87.581199646
1608043453366214424,5637,1608043453351533616,,115.609428406,87.0536956787,1.56151306629,376.976654053,256.16595459,87.575012207
1608043453397742667,5638,1608043453383396083,,112.55317688,91.4580688477,1.49365818501,375.433807373,255.119537354,87.9182281494
1608043453438310969,5639,1608043453419446789,,113.363998413,85.5298080444,-1.54823684692,377.366333008,256.420166016,87.7175521851
1608043453464953270,5640,1608043453451217949,,0.0,0.0,0.0,0.0,0.0,87.7175521851
1608043453497327108,5641,1608043453483386376,,87.7572097778,81.8744659424,-0.126898422837,375.924682617,242.047851562,87.1449737549
1608043453533447497,5642,1608043453519543328,,92.5559616089,85.968788147,-0.0704785585403,375.652984619,241.638809204,86.9543838501
1608043453565216085,5643,1608043453551454523,,96.0025024414,92.630279541,-0.372793823481,377.091003418,237.968795776,87.4465942383
